"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0007249","canonical NF-kappaB signal transduction",3.2671866,10,0.0291561,7.1e-09,1e-08,"BIRC2, BIRC3, IRAK2, RIPK2, TBK1",""
"GO:0006260","DNA replication",2.3337047,10,0.01204,8.3e-09,0.036,"CDK2, POLA1","MCM7, POLD2, RPA3"
"GO:1902895","positive regulation of miRNA transcription",4.2006685,10,0.0854732,1.8e-08,1.5e-07,"ETS1, HIF1A, JUN, NGFR, PPARG, FOSL1","EGR1, GNL3, ATOH8"
"GO:0043123","positive regulation of canonical NF-kappaB signal
transduction",1.697908,10,0.0499732,2.2e-08,3.6e-08,"BIRC2, BIRC3, CAV1, F2RL1, ROR1, TRIM25, RIPK2, MID2,
TBK1, TAB3","RNF31"
"GO:1902894","negative regulation of miRNA transcription",4.2615477,10,0.0544821,2.7e-07,7.1e-05,"HIF1A, PPARD, PPARG, SOX9","TWIST1"
"GO:0000209","protein polyubiquitination",1.417093,9,0.0076923,9.6e-07,7.6e-05,"BIRC2, MKRN3, RNF41, DTL","RNF31, TMEM129"
"GO:0007259","cell surface receptor signaling pathway via
JAK-STAT",3.6302073,9,0.007874,2.9e-06,0.00027,"GHR, IFNAR1, JAK2, STAT1","IFNAR2"
"GO:0000398","mRNA splicing, via spliceosome",1.1761872,9,0.0152672,4.8e-06,0.01,"","HNRNPA2B1, SNRPB2, BUD31, LSM5, DDX41, LSM8"
"GO:0006511","ubiquitin-dependent protein catabolic process",1.4343746,10,0.0149832,1.1e-05,0.019,"TRIM25, DTL, RNF43, SMURF2, SPSB1, RNF144B","WDR91, GET4, TMEM129"
"GO:0043536","positive regulation of blood vessel endothelial cell
migration",4.4107019,10,0.0345238,1.6e-05,2.6e-05,"ETS1, FGF2, HIF1A, KDR, PRKCA, SIRT1","HSPB1, PLCG1, TMSB4X"
"GO:0038061","non-canonical NF-kappaB signal transduction",3.2671866,10,0.0272817,2.2e-05,2.8e-05,"BIRC2, BIRC3, TAB3",""
