"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0004842","ubiquitin-protein transferase activity",1.651948,10,0.0904444,1.8e-16,0.00013,"BIRC2, BIRC3, TNFAIP3, UBA7, TRIM25, RNF41, MGRN1,
DTL, RNF43, SMURF2, RNF182, RNF144B","UBE2H, RNF31, TRIM56"
"GO:0003700","DNA-binding transcription factor activity",2.267027,10,0.1005442,3.1e-15,1.6e-12,"ETS1, MECOM, HIF1A, HOXC13, JUN, NFE2L2, PPARD,
PPARG, RARG, RORA, RORB, SOX2, SOX9, STAT1, STAT6, KLF10, FOSL1, SOX13,
ZHX1, ATF6, CSRNP2","EGR1, GLI3, HOXA5, MEF2C, MEOX2, POU3F2, SOX11,
TFAP2B, TFAP2C, MSC, ATOH8, ZNF746, FOXK1"
"GO:0001228","DNA-binding transcription activator activity, RNA
polymerase II-specific",1.9039,10,0.0689665,5.8e-10,5.6e-06,"ETS1, FOXC2, HIF1A, HOXC10, HOXC11, JUN, NFE2L2,
PPARG, SOX9, STAT6, KLF10, KLF7, ATF6, NKRF, OSR2, GLIS3","EGR1, NR4A1, HOXA5, MEF2C, MEOX2, NR4A2, PRRX1,
SOX11, TFAP2B, TFAP2C, HAND2"
"GO:0061630","ubiquitin protein ligase activity",1.173839,9,0.0152672,3.8e-09,4.4e-07,"MKRN3, TRIM25, RNF41, NT5C2, RNF43, SMURF2","RNF31, IRF2BPL, TRIM56, TMEM129"
"GO:0000981","DNA-binding transcription factor activity, RNA
polymerase II-specific",2.158142,10,0.0647815,7.5e-08,5.7e-06,"ETS1, HIF1A, JUN, RORB, SOX9, STAT1, KLF7","NR4A1, MEF2C, TFAP2B, TWIST1, HAND2"
"GO:0001221","transcription coregulator binding",4.574061,10,0.0553368,1.8e-07,0.0025,"HMGA1, LMO2, PPARG, RORA","SMARCD3, TWIST1, CBX3"
"GO:0061629","RNA polymerase II-specific DNA-binding transcription
factor binding",1.770604,10,0.0608374,4.5e-07,0.00025,"ETS1, HIF1A, JUN, LMO2, NFE2L2, ANKRD1","NR0B1, HSPB1, MEF2C, PRRX1, HAND2, HDAC5, TRIB2,
DACT1"
"GO:0016922","nuclear receptor binding",3.811718,10,0.0647815,1.5e-06,0.0011,"HIF1A, STAT1, NRIP1, SIRT1","NR0B1, SMARCD3, BUD31"
"GO:0001223","transcription coactivator binding",3.459374,10,0.0358428,2.2e-06,3.5e-06,"HIF1A, PPARD, RORA, STAT1, STAT6","HAND2"
"GO:0000976","transcription cis-regulatory region binding",1.641641,10,0.0647815,2.3e-06,0.0041,"ETS1, FOXC2, HOXC13, JUN, NFE2L2, PPARG, SOX2, SOX13,
ATF6, GABPB2","EGR1, MEF2C, SOX11, HAND2, HDAC5, ZNF746, FOXK1"
