"","SCR_exp1","SCR_exp2","SCR_exp3","SCR_exp4","GLS_KO_exp1","GLS_KO_exp2","GLS_KO_exp3","GLS_KO_exp4"
"ENSG00000309831",0,5,0,5,0,0,3,3
"ENSG00000302039",133,193,111,145,150,176,174,165
"ENSG00000307722",0,0,0,0,1,0,0,0
"ENSG00000298153",0,0,0,0,1,0,0,0
"ENSG00000298169",23,18,27,31,32,11,18,22
"ENSG00000300815",3,2,2,2,2,2,2,6
"ENSG00000301573",7,3,0,0,0,0,0,0
"ENSG00000277856",0,2,1,0,0,1,1,0
"ENSG00000303154",75,96,76,61,85,74,79,80
"ENSG00000299314",0,3,0,0,0,0,0,2
"ENSG00000294171",97,78,173,63,210,204,54,125
"ENSG00000303173",42,51,36,57,55,64,38,43
"ENSG00000303867",27,55,64,24,33,35,30,73
"ENSG00000297558",3,4,2,3,1,1,4,0
"ENSG00000304792",0,0,0,2,0,6,2,0
"ENSG00000304816",17,45,26,32,40,22,13,62
"ENSG00000304845",1,8,3,11,0,6,8,14
"ENSG00000304745",106,123,124,94,136,121,111,159
"ENSG00000299200",58,42,55,55,45,49,50,93
"ENSG00000301761",370,466,391,385,599,400,482,551
"ENSG00000296713",1,2,0,0,6,1,0,0
"ENSG00000274917",0,0,0,0,429,0,0,0
"ENSG00000305511",160,237,359,410,169,115,392,440
"ENSG00000296546",1,5,7,7,15,9,11,4
"ENSG00000277196",3,3,6,0,0,0,0,6
"ENSG00000309233",7,2,10,4,6,1,6,6
"ENSG00000303733",0,0,1,0,1,0,1,0
"ENSG00000307470",994,1162,587,971,1283,1246,1183,1164
"ENSG00000300074",2,3,9,9,3,2,11,15
"ENSG00000297972",12,15,12,13,14,7,9,22
"ENSG00000304422",0,0,0,0,0,2,0,0
"ENSG00000300519",1,4,7,1,2,3,1,2
"ENSG00000296598",1,4,2,2,3,0,3,4
"ENSG00000296618",292,324,506,364,365,305,309,391
"ENSG00000296581",23,30,20,13,24,19,28,22
"ENSG00000295063",54,74,27,89,117,87,115,108
"ENSG00000310277",0,0,0,1,0,0,0,0
"ENSG00000275757",0,0,0,158,0,0,0,0
"ENSG00000310392",0,0,7,14,0,0,21,13
"ENSG00000298142",1,0,0,0,0,0,0,0
"ENSG00000301406",0,4,1,1,0,2,3,0
"ENSG00000308185",173,269,311,361,318,231,415,452
"ENSG00000276256",91,86,81,75,141,106,101,103
"ENSG00000303853",38,48,24,60,59,41,64,74
"ENSG00000302801",0,0,0,3,0,0,2,0
"ENSG00000307166",0,1,0,0,0,0,0,0
"ENSG00000274847",63,63,78,45,88,39,48,84
"ENSG00000277400",20,52,33,35,92,51,59,45
"ENSG00000298772",5,4,12,5,5,5,9,19
"ENSG00000278704",67,105,63,75,90,69,104,88
"ENSG00000296732",129,108,134,159,152,126,130,169
"ENSG00000307077",12,26,15,20,21,15,24,39
"ENSG00000294897",0,0,2,0,0,0,2,0
"ENSG00000310156",2,0,0,0,0,2,0,0
"ENSG00000305027",1,0,0,0,8,0,1,0
"ENSG00000295455",0,0,1,0,0,0,0,0
"ENSG00000275869",5,6,0,9,10,14,8,4
"ENSG00000304032",5,0,13,10,5,6,6,6
"ENSG00000300662",3,0,3,0,1,0,0,0
"ENSG00000310542",0,0,0,1,0,1,0,2
"ENSG00000292366",819,759,688,826,704,655,689,747
"ENSG00000292364",6,0,0,0,0,0,5,6
"ENSG00000215506",1,0,0,0,0,0,0,0
"ENSG00000299596",1,0,0,0,1,0,4,0
"ENSG00000172294",1,2,2,0,0,0,0,0
"ENSG00000233652",0,0,1,0,0,0,0,0
"ENSG00000233740",0,0,0,0,0,0,1,0
"ENSG00000296017",1,0,6,3,0,1,1,0
"ENSG00000172342",0,0,0,1,0,2,0,0
"ENSG00000229236",1,2,0,0,1,0,0,3
"ENSG00000012817",0,0,1,0,0,0,0,0
"ENSG00000185275",0,0,0,0,1,0,0,1
"ENSG00000229465",0,0,4,2,0,0,1,0
"ENSG00000229129",0,1,1,0,0,0,0,0
"ENSG00000236131",0,0,0,0,3,0,0,0
"ENSG00000241859",0,0,0,0,0,0,0,1
"ENSG00000067048",2,0,2,2,3,0,0,0
"ENSG00000114374",0,0,0,1,0,0,0,0
"ENSG00000296286",0,2,0,1,2,0,0,0
"ENSG00000290435",1,2,3,1,0,3,0,1
"ENSG00000291032",27,30,33,38,45,29,35,50
