"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000115419.13",5591.97561431779,1.763102954022,0.0712599935302393,24.7418343263506,3.79578344481541e-135,9.44770499414556e-131,"GLS"
"ENSG00000080345.18",2919.94021389414,1.47794921287248,0.080900408450834,18.2687484670819,1.46778465331412e-74,1.82665800104942e-70,"RIF1"
"ENSG00000135968.21",1462.62863416444,1.64928558717345,0.0920543813665958,17.9164268195487,8.77889879845843e-72,7.28355970312101e-68,"GCC2"
"ENSG00000170802.16",1635.9149225461,1.60671949213323,0.0957867008681949,16.7739308021906,3.78612556583748e-63,2.35591663334238e-59,"FOXN2"
"ENSG00000196504.19",4550.75577836953,1.17953296093827,0.0711787954011996,16.5714094245319,1.12165619646164e-61,5.58360454598604e-58,"PRPF40A"
"ENSG00000099797.15",9933.27853654946,-1.71748985836878,0.104033847041182,-16.508952684302,3.16325349002226e-61,1.31222298944424e-57,"TECR"
"ENSG00000138398.17",2692.70421881941,1.35727201079268,0.0835026378978042,16.2542411229426,2.08433150732569e-59,7.41128731676236e-56,"PPIG"
"ENSG00000205155.8",1093.25428231126,-1.64375640994725,0.101364178666303,-16.2163441915571,3.86527489479982e-59,1.20258365164459e-55,"PSENEN"
"ENSG00000125971.17",711.147397683378,-1.7470717332972,0.108466784245658,-16.1069745493734,2.27905074072587e-58,6.30284143740743e-55,"DYNLRB1"
"ENSG00000107223.13",13232.8142108187,-1.34123269232009,0.083367214943551,-16.0882511575834,3.08427072157081e-58,7.67674982598974e-55,"EDF1"
"ENSG00000115020.17",2299.63974017249,1.13408321835141,0.0705782009511691,16.0684631099629,4.24480513648095e-58,9.60483634972826e-55,"PIKFYVE"
"ENSG00000118260.15",1775.63834709144,1.076351308476,0.0670546910547448,16.0518420343961,5.54923442499336e-58,1.15100370698404e-54,"CREB1"
"ENSG00000105404.11",682.89259231389,-1.71284194054505,0.108121988772423,-15.8417539299084,1.60286910515451e-56,3.06887784825352e-53,"RABAC1"
"ENSG00000067829.19",4347.74940806563,-1.22896389018534,0.0777170426674193,-15.8133126017744,2.51867801410669e-56,4.47784969793683e-53,"IDH3G"
"ENSG00000153201.16",5456.35899738834,1.11460160116823,0.0705285045266675,15.8035621008637,2.94022556094951e-56,4.87881428080222e-53,"RANBP2"
"ENSG00000152133.16",751.745483793675,1.23411011538902,0.0786923843783029,15.6827134561866,1.98586313932834e-55,3.08925834611766e-52,"GPATCH11"
"ENSG00000064933.18",700.508357186069,1.29382347143218,0.0826784948537493,15.6488512970736,3.38270314342573e-55,4.95267536705096e-52,"PMS1"
"ENSG00000105518.14",1204.89306359075,-1.47580501862985,0.0945666145799136,-15.605983413763,6.62804933986483e-55,9.16511933717976e-52,"TMEM205"
"ENSG00000113810.16",2046.36666332056,1.84291848805193,0.118199714140205,15.5915646789629,8.30736137386573e-55,1.08826433997641e-51,"SMC4"
"ENSG00000116747.13",2137.49262112175,1.54309854871665,0.0990444814247366,15.5798538850369,9.97825655651917e-55,1.24179402845881e-51,"RO60"
"ENSG00000103363.15",10626.5275148904,-1.41711609861789,0.0913689231644202,-15.5098259839154,2.97684546019965e-54,3.36789470474406e-51,"ELOB"
"ENSG00000172845.17",3614.09968102202,1.1178346166869,0.0720714209979816,15.5100954193509,2.96438030183428e-54,3.36789470474406e-51,"SP3"
"ENSG00000144306.15",734.120949072453,1.16988656942443,0.0760300315318908,15.3871640699467,1.99590174896313e-53,2.15991280572575e-50,"SCRN3"
"ENSG00000110717.13",6711.11373325997,-1.66415929714671,0.10819810521076,-15.3806695034546,2.2065418024125e-53,2.2883677275853e-50,"NDUFS8"
