"","sample","ENSG00000115419_logTPM","group"
"1","TCGA-ER-A2NB-01A-12R-A18S-07",1.35010115878379,"Low"
"2","TCGA-ER-A19B-06A-11R-A18S-07",6.64221491227006,"High"
"3","TCGA-D3-A2JG-06A-11R-A18T-07",4.50833356844244,"Low"
"4","TCGA-EE-A2GO-06A-11R-A18S-07",5.42235075316857,"Middle"
"5","TCGA-FS-A1ZT-06A-11R-A18U-07",6.09418538880192,"High"
"6","TCGA-EB-A5VV-06A-11R-A32P-07",5.99652433171541,"High"
"7","TCGA-EE-A184-06A-11R-A18S-07",4.55344037776613,"Low"
"8","TCGA-FS-A1ZU-06A-12R-A18T-07",5.62524710676963,"Middle"
"9","TCGA-GN-A263-01A-11R-A18T-07",4.02565784251561,"Low"
"10","TCGA-ER-A2NE-06A-21R-A18T-07",6.12130971389283,"High"
"11","TCGA-FS-A1YW-06A-11R-A18T-07",4.24930121608591,"Low"
"12","TCGA-EB-A24C-01A-11R-A18T-07",4.85040939878107,"Middle"
"13","TCGA-EB-A5SH-06A-11R-A311-07",2.26615686364662,"Low"
"14","TCGA-D3-A51T-06A-11R-A266-07",4.63307659627962,"Middle"
"15","TCGA-BF-AAP8-01A-11R-A40A-07",4.36050474633969,"Low"
"16","TCGA-RP-A694-06A-11R-A311-07",5.31258531202109,"Middle"
"17","TCGA-ER-A194-01A-11R-A18U-07",1.80293764164404,"Low"
"18","TCGA-ER-A19L-06A-12R-A18S-07",5.97351943968502,"High"
"19","TCGA-GN-A4U5-01A-11R-A32P-07",4.28950989604362,"Low"
"20","TCGA-EB-A5FP-01A-11R-A27Q-07",5.69559579256471,"Middle"
"21","TCGA-EE-A2GK-06A-11R-A18S-07",5.6568309775044,"Middle"
"22","TCGA-Z2-AA3S-06A-11R-A39D-07",5.25842847077598,"Middle"
"23","TCGA-WE-A8JZ-06A-11R-A37K-07",5.77134156091698,"High"
"24","TCGA-EE-A2A6-06A-11R-A18T-07",6.01247704962606,"High"
"25","TCGA-ER-A19E-06A-11R-A18S-07",6.02269848522377,"High"
"26","TCGA-EB-A6R0-01A-12R-A32P-07",5.09645162447759,"Middle"
"27","TCGA-D3-A5GR-06A-11R-A27Q-07",5.87840655990825,"High"
"28","TCGA-FS-A1Z3-06A-11R-A18T-07",6.96222972537979,"High"
"29","TCGA-ER-A42H-01A-11R-A24X-07",5.89964452685693,"High"
"30","TCGA-EE-A29T-06A-11R-A18T-07",5.25989011456987,"Middle"
"31","TCGA-BF-A5EQ-01A-21R-A27Q-07",4.60388741578687,"Middle"
"32","TCGA-D3-A51N-06A-11R-A266-07",5.08318357777832,"Middle"
"33","TCGA-EE-A181-06A-11R-A18S-07",5.29822573543665,"Middle"
"34","TCGA-EE-A29V-06A-12R-A18S-07",2.58652457437824,"Low"
"35","TCGA-FS-A1ZK-06A-11R-A18T-07",4.8515191911699,"Middle"
"36","TCGA-D3-A2JH-06A-11R-A18T-07",5.9277613724752,"High"
"37","TCGA-D3-A1Q3-06A-11R-A18T-07",5.31004922535138,"Middle"
"38","TCGA-EE-A2GC-06A-11R-A18T-07",5.36136131604763,"Middle"
"39","TCGA-ER-A1A1-06A-11R-A18U-07",5.62662311239056,"Middle"
"40","TCGA-YG-AA3O-06A-11R-A38C-07",5.69818235482238,"Middle"
"41","TCGA-WE-A8K5-06A-11R-A37K-07",5.406890361956,"Middle"
"42","TCGA-FS-A1ZW-06A-12R-A18T-07",5.30871399109728,"Middle"
"43","TCGA-GN-A267-06A-21R-A18T-07",3.88663793542661,"Low"
"44","TCGA-FS-A1ZZ-06A-11R-A18S-07",5.90594532074541,"High"
"45","TCGA-D3-A8GC-06A-11R-A37K-07",5.93221947726682,"High"
"46","TCGA-FR-A7U8-06A-21R-A352-07",4.78362427803265,"Middle"
"47","TCGA-EE-A2GU-06A-11R-A18T-07",6.63919308490491,"High"
"48","TCGA-D3-A2JL-06A-11R-A18S-07",3.83243435430701,"Low"
"49","TCGA-EE-A29X-06A-11R-A18T-07",4.20914919785557,"Low"
"50","TCGA-EE-A3JI-06A-11R-A21D-07",7.24924906204483,"High"
"51","TCGA-EE-A3JH-06A-11R-A21D-07",3.92743191076616,"Low"
"52","TCGA-HR-A5NC-01A-11R-A27Q-07",6.05931633678568,"High"
"53","TCGA-DA-A1IA-06A-11R-A18S-07",2.51606559000435,"Low"
"54","TCGA-D3-A3C1-06A-12R-A18S-07",3.79230356693382,"Low"
"55","TCGA-EE-A3JA-06A-11R-A20F-07",5.34542831191147,"Middle"
"56","TCGA-ER-A19A-06A-21R-A18U-07",5.24239290743097,"Middle"
"57","TCGA-GF-A6C9-06A-11R-A311-07",4.68867273833914,"Middle"
"58","TCGA-EE-A2MK-06A-11R-A18S-07",4.7266132708064,"Middle"
"59","TCGA-RP-A693-06A-13R-A311-07",6.32066698906951,"High"
"60","TCGA-D9-A3Z1-06A-11R-A239-07",5.23215418982013,"Middle"
"61","TCGA-DA-A95W-06A-11R-A37K-07",5.35581973099685,"Middle"
"62","TCGA-XV-A9VZ-01A-11R-A38C-07",3.90726564756451,"Low"
"63","TCGA-EE-A2MS-06A-11R-A18S-07",4.91230495633098,"Middle"
