"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0000398","mRNA splicing, via spliceosome",1.3114724,10,0.297822,2.1e-61,3.2e-12,"CDC5L, DHX15, HNRNPA2B1, MFAP1, PLRG1, TRA2B, SNRPA1,
SNRPB2, SNRPD3, DDX39B, AQR, DDX46, BCAS2, SRSF10, LSM6, WBP4, SF3B1,
LSM5, USP49, GEMIN5, SYF2, HTATSF1, RSRC1, CRNKL1, CDC40, PPIL1, CWC25,
METTL3, CWC22, METTL14, PRPF38A, FRA10AC1","DHX8, IK, SNU13, SNRNP70, SNRPB, SNRPC, SNRPD2,
SNRPF, RNF113A, SF3A2, ZRSR2, DHX16, BUD31, SART1, EFTUD2, DDX23,
EIF4A3, DDX39A, SF3B4, SF3A1, PPIE, PRPF8, TXNL4A, SF3B2, U2AF2, SF3B3,
PRPF6, LSM4, PRPF31, GPKOW, LSM3, PRPF19, DDX41, LSM7, XAB2, ISY1, LSM2,
CACTIN, SF3B5, WDR83, ZMAT2"
"GO:0042274","ribosomal small subunit biogenesis",1.442674,10,0.3543182,8.1e-40,9.6e-16,"RPS3A, RPS7, RPS17, NOP14, BMS1, MPHOSPH10, WDR3,
KRR1, WDR43, DIMT1, UTP20, DNTTIP2, FCF1, UTP18, NOP58, HEATR1, RIOK2,
UTP6, PNO1, UTP3, RIOK1, WDR75, UTP15, C1orf131, WDR36","FBL, SNU13, RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13,
RPS14, RPS15, RPS15A, RPS16, RPS19, RPS27, RPS28, RRP9, WDR46, EMG1,
TBL3, AATF, RRP7A, NAT10, IMP3, DHX37, NOL6, RRP36, RPS19BP1, IMP4"
"GO:0008380","RNA splicing",1.3618913,10,0.3125,4.7e-35,3.5e-09,"HNRNPH3, MBNL1, NCBP1, NOVA1, SFPQ, SRSF7, SNRPA1,
SNRPD3, SRPK1, SRPK2, U2AF1, DDX39B, GEMIN2, PRPF18, SCAF11, PPIG,
SRRM1, BCAS2, SYNCRIP, IVNS1ABP, TCERG1, LSM6, NCBP2, TARDBP, DDX47,
RSRC1, LUC7L3, CDK12","DHX8, FUS, PRMT1, SRSF4, SNRPB, SNRPD2, SNRPF, SNRPN,
DHX16, KHSRP, NOL3, DDX23, SF3B4, PRPF8, RNPS1, SF3B2, LSM4, CCAR2,
USB1"
"GO:0006468","protein phosphorylation",1.3135973,10,0.1834091,1.5e-32,5.8e-05,"ADAM10, ATM, BMX, BRAF, CAMK4, CAMK2D, CDK1, CDK6,
CHEK1, CHUK, CREB1, CSNK1A1, CSNK2A1, DAPK1, DYRK1A, FER, GMFB, GSK3B,
IGFBP3, ILK, JAK2, MAK, MARK1, MARK3, MAP3K5, MYLK, NEK1, NEK2, NEK3,
PAK2, CDK17, PPP3CB, PRKAA1, PRKAA2, PRKACB, PRKCA, PRKCE, PRKCI, PKN2,
PRKDC, PRKG1, PRKG2, MAPK6, MAPK8, MAPK9, MAP2K1, EIF2AK2, RAF1, ROCK1,
RYK, SRPK1, SRPK2, NEK4, STK3, STK4, CDKL5, TAF1, TXK, VRK1, VRK2,
DYRK2, CDC42BPA, MAP4K3, CDKL1, KALRN, LATS1, DCLK1, RPS6KA5, STK17B,
STK17A, COPS2, MAP4K4, EIF2AK3, ROCK2, TLK1, OXSR1, AKT3, HIPK3, MERTK,
PLK4, PLK2, TLK2, CHEK2, IRAK3, AAK1, LMTK2, STK38L, TNIK, MORC3, SGK3,
PRKD3, STK39, TBK1, TAOK3, STK26, SNRK, BIRC6, FNIP2, WNK4, WNK3, TSSK3,
MEX3B, STRADA, LRRK2, NEK7, NEK10, HIPK1, CSNK2A3, TSSK4, EIF2AK4","AKT1, BCR, CAMK2A, RUNX3, CCNE1, CDK11B, CDC25B,
CDK2, CDK5, CDK9, CLK3, PLK3, CSK, CSNK1D, CSNK1E, CSNK1G2, CTBP1,
DAPK3, DMPK, MARK2, ERBB2, PTK2B, FGR, GAS6, MKNK2, GSK3A, HCK, LIMK1,
LIMK2, LIPE, MATK, MAP3K9, MAP3K11, PAK1, CDK16, PDGFB, PHKG2, PIM1,
PLK1, PRKAB1, PRKACA, PRKAG1, PRKCD, PKN1, PRKCZ, MAPK3, MAPK4, PTK6,
MAP4K2, RARA, RET, RPS6KA1, STK11, AURKC, SYK, TYK2, WNT11, MAP3K12,
MKNK1, TNK1, STK19, RPS6KA4, MAP3K6, DYRK1B, AURKB, MAPKAPK2, PICK1,
TESK2, STK25, ERN2, NEK6, HCST, FASTK, PIM2, MAST1, MAST2, DAPK2, PRKD2,
PKN3, MINK1, CDC42BPG, FAM20C, MARK4, PINK1, WNK2, PRRT1, NUAK2, TSSK6,
MYLK3, IP6K3, GLYCTK, SIK1, PIM3, CDK11A"
"GO:0006338","chromatin remodeling",1.4040167,9,0.215,1.7e-31,0.017,"ACTL6A, ATRX, BMI1, CHD1, CHEK1, BPTF, HDAC2, RB1,
RBBP4, REST, RNF2, SFPQ, SMARCA1, SMARCC1, SMARCE1, TOP1, KDM6A, YY1,
SMARCA5, KAT2B, BAZ1B, CHD1L, ZNF274, BAZ1A, ZBTB1, PAXIP1, RYBP, NIPBL,
BAZ2B, WAC, UCHL5, RSF1, POLE3, INO80, INO80D, PBRM1, IWS1, SMARCAD1,
MIER1, GATAD1, SUDS3, SUV39H2, TET1, INO80B, PCGF6, SLFN11, ACTR8,
MYSM1, PWWP2A, ZNF827","CHD3, CHD4, DAXX, HDAC1, PAK1, PER1, RING1, SMARCA4,
SMARCB1, SMARCD1, SMARCD2, SMARCD3, SOX9, PCGF2, BRPF1, RUVBL1, MBD2,
MTA1, MTA2, NPM2, MCRS1, ZNHIT1, TAF6L, RUVBL2, KDM6B, JMJD6, PADI4,
CHD5, CHTOP, TFPT, ZBTB7A, SIRT6, MBD3, CHRAC1, GATAD2A, PIH1D1, COPRS,
GATAD2B, ACTR5, PCGF1, INO80C, PWWP2B, INO80E"
"GO:0006974","DNA damage response",1.4971146,10,0.4347222,1.9e-30,3.6e-07,"APC, XIAP, ATM, ATR, BLM, CHEK1, ERCC8, ATF2,
CSNK2A1, FOXO1, MCL1, MNDA, MRE11, NEDD4, NFATC2, PRKDC, RAD1, RAD17,
RBBP5, RBBP6, NEK4, TAF1, TOP2A, TP53BP1, UBE2B, VRK1, WRN, XRCC5, YY1,
DYRK2, CUL4B, CUL4A, RNF8, BAZ1B, USP10, AIM2, CHD1L, ZNF432, BCLAF1,
ZBTB40, TANK, RAD50, TOPORS, YAP1, USP16, RAD51AP1, POLQ, NFAT5, CBX1,
TLK2, TOPBP1, CHEK2, CBX3, ZBTB1, KIN, SMG1, SETX, SMC5, PSME4, UFL1,
SIRT1, CBX5, SPIDR, NIPBL, FBXO5, UBE2T, UHRF1, WAC, TAOK3, UBR5, POLK,
DTL, ETAA1, NSMCE4A, HPF1, USP47, FANCL, RFWD3, MSL2, RIF1, MCM10,
CDKN2AIP, METTL3, FMN2, RAD18, TAOK1, WDR48, USP28, INIP, FAM111A,
NABP1, SMC6, WDR76, VCPIP1, SETD7, SPRTN, ZRANB3, SLF1, MCM8, MASTL,
SLFN11, ALKBH8, HELB, ANKLE1, MACROD2, RNF168, APLF, FBXO45, MAPK15,
SPDYA, STXBP4, ZBTB38, RNF169, MCM9, SHPRH, BOD1L1, ACER2","ABL1, APBB1, CCND1, BCL3, BCL6, CASP9, CDKN1A, PLK3,
DDB1, DDB2, DDX11, ENDOG, GNL1, IRF3, IRF7, MAPT, MEN1, OGG1, PAK1,
PRKCD, PSEN1, RAD9A, RPS3, STK11, SUV39H1, TP53, TP73, UBA1, VCP, XRCC3,
BTG2, IKBKG, CCNK, IER3, MAPKAPK2, TAOK2, MDC1, SUSD6, RBX1, CIB1, KAT5,
BATF, NCOA6, SIRT4, PPP1R15A, ZNF385A, AATF, MACROD1, SIRT7, DGCR8,
GNB1L, PIDD1, OTUB1, UBQLN4, HMCES, ZBTB4, INTS3, NABP2, FBXO31,
ZC3H12A, FLYWCH1, ALKBH7, ZDHHC16, CHCHD6, NSMCE1, RBM24, BRAT1,
MICA"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein
catabolic process",1.4917677,10,0.255,2e-27,0.0013,"BIRC2, ERCC8, MDM2, ATXN3, NFE2L2, PEX12, PPP2R5C,
PSMA2, SH3BGRL, SKP2, UBE2B, UBE2D1, UBE2D3, UBE3A, VHL, SPOP, CUL4A,
CUL3, CUL1, CLOCK, PJA2, KIF14, FEM1B, TRIM13, TOPORS, APPBP2, FBXW11,
SIRT1, KLHDC2, DCAF13, FBXO9, KLHL20, CRBN, UBE2W, FBXW7, FEM1C, PCNP,
PELI1, KLHL42, COP1, FBXL17, TBL1XR1, ITCH, KBTBD7, USP44, KBTBD6,
TRIM9, RFFL, FBXO45, SPOPL","ARRB1, ARRB2, CDC34, DDB1, GSK3A, IFI27, PCBP2,
PEX10, PML, PSMC5, RNF4, TNFAIP1, VCP, TRIM26, MTA1, RBX1, STUB1, KAT5,
RBCK1, WWP2, SIRT2, ZSWIM8, NEDD4L, PRAME, FBXO7, TBX21, FBXW5, FBXL19,
AMBRA1, RNF126, SMURF1, HECTD3, KCTD17, RNF122, KCTD10, KLHL22, ZNRF1,
KLHDC3, ANKRD9, ZFAND2B, RNF187, KCTD13, NHLRC1"
"GO:0006364","rRNA processing",1.3474031,10,0.3075,2.8e-27,8.9e-10,"DKC1, NVL, RPL5, RPS7, RPS17, NOP14, NOLC1, XRN2,
DIS3, DCAF13, UTP20, EXOSC3, SBDS, DDX47, NOP58, NOL8, LYAR, DDX27","FBL, RPS15, RPS16, RPS19, RPS27, RPS28, RPL14, RRP9,
EMG1, EXOSC7, PES1, RRP7A, WDR74, WDR55, NOL6, NOC4L, LAS1L, RRP36"
"GO:0016567","protein ubiquitination",1.4330761,10,0.275,8.5e-27,2e-10,"TRIM23, BRCA1, CBL, MDM2, NEDD4, NFE2L2, HLTF, UBE2B,
UBE2D3, UBE2E1, UBE2V2, VHL, USP9X, CUL4B, CUL4A, CUL3, CUL2, CUL1,
ENC1, TRIM24, RNF144A, PJA2, ARIH2, WWP1, RNF139, KLHL2, MYCBP2, FBXW11,
SIRT1, ARIH1, FBXL2, RCHY1, FBXL3, FBXL5, FBXO9, FBXO4, KLHL20, RLIM,
CRBN, RNF138, TRIM33, RNF111, KLHL24, DET1, RFWD3, UBA6, FBXW7, CAND1,
KLHL9, KLHL7, PCNP, BIRC6, HACE1, KLHL8, UVSSA, ATG3, FBXL17, CBLL1,
VCPIP1, ITCH, TRIM52, OTULIN, KLHL13, RNF157, PCMTD1, UHRF2, SDE2,
RNF168, FBXO45, SHPRH","ARRB1, ARRB2, CCNF, CDC34, DDB1, PLK1, TRIM21,
TNFAIP1, UBA1, UBE2D2, UBE2L3, VCP, RNF113A, USP5, LZTR1, KEAP1, CUL7,
AREL1, KLHL21, RBX1, STUB1, UBAC1, OS9, WWP2, UBE2C, TRIM32, ZSWIM8,
CUL9, FBXL7, NEDD4L, CBLC, FBXO7, TRPC4AP, FBXO2, FBXO25, RNF181,
ANAPC7, ANAPC11, UBE2D4, FBXW5, RNF43, RNF220, VPS11, VPS18, RNF25,
KLHL25, PINK1, RNF26, FBXL15, BIRC7, MUL1, SPSB1, TRIM11, KCTD10, TRAF7,
RNF135, SYVN1, SPSB2, ZNF598, TRIM47, TMEM129, SPSB4, ARRDC1, FBXO32,
C10orf90, ANKRD9, ASB12, KCTD13"
"GO:0051726","regulation of cell cycle",1.3133309,9,0.2121212,4.1e-26,0.0085,"ACTL6A, BIRC2, ATM, BRCA1, CDK6, CDK7, CDKN1B, DR1,
EIF4G2, MECOM, GRK5, INHA, MDM2, NBN, PKD2, PLAGL1, PPM1A, MAP2K6,
PTPRC, RB1, SON, TGFBR1, YY1, YEATS4, KAT2B, PUM1, JADE3, ZNF268,
MORF4L1, TARDBP, ZZZ3, EPC2, UCHL5, DTL, MBIP, ING3, INO80, MBTD1,
INO80D, YEATS2, WDR12, PRR11, TXLNG, FIGNL1, JADE1, EPC1, INO80B, TBRG1,
MASTL, PNPT1, ACTR8, UHRF2, UHMK1, ZBTB49","ABL1, ACTB, ADARB1, AKT2, CCNF, CDK5, CDK9, CDKN1A,
CEBPA, CTBP1, E4F1, FOXM1, GPER1, HRAS, IRF1, LEP, NF2, PLK1, PRCC,
PRKACA, STK11, VPS72, TP53, TP73, BAP1, FZD9, MADD, RUVBL1, TBRG4,
MCRS1, TADA3, KAT5, RUVBL2, WDR5, KAT7, SIRT2, BOP1, JADE2, PES1,
PPP1R15A, PPP2R3B, TFPT, YY1AP1, DMAP1, EP400, ACTR5, ZNF703, PPP1R9B,
INO80C, DAB2IP, INO80E, TRNP1"
