"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0022626","cytosolic ribosome",1.3474031,10,0.535,3.2e-71,2.4e-44,"EEF1A1, ETF1, GSPT1, ABCE1, RPL5, RPL7A, RPL17,
RPL21, RPL36A, RPS3A, RPS7, RPS17, USP10, NEMF, HBS1L, ASCC3, LTN1,
EIF2AK4","APOD, FAU, RPSA, RPL3, RPL7A, RPL8, RPL10, RPL12,
RPL13, RPL15, RPL18, RPL18A, RPL19, RPL23A, RPL24, RPL30, RPL27A, RPL28,
RPL29, RPL32, RPL37, RPL37A, RPL38, RPL39, RPLP0, RPLP1, RPS2, RPS3,
RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16,
RPS19, RPS20, RPS27, UBA52, RPL14, RPL23, RNF10, GCN1, RPL35, RPL13A,
RPL36, RNF25, ASCC2, ZNF598"
"GO:0071013","catalytic step 2 spliceosome",1.4465626,10,0.4375,1.7e-55,1.2e-18,"CDC5L, DDX5, FRG1, HNRNPA2B1, HNRNPF, HNRNPH1,
HNRNPU, PLRG1, PNN, SRSF1, SNRPA1, SNRPB2, SNRPD3, U2AF1, AQR, HNRNPR,
SRRM1, CWC27, SYNCRIP, SLU7, PPWD1, SF3B1, SYF2, PABPC1, RBMX, CRNKL1,
CDC40, PPIL1, PPIL3, ZCCHC8, CWC22, DHX35, HNRNPA3","DHX8, MAGOH, HNRNPM, SNRPB, SNRPD2, SNRPF, SF3A2,
SART1, EFTUD2, DDX23, EIF4A3, ALYREF, SF3A1, PPIE, PRPF8, SF3B2, RALY,
SF3B3, TFIP11, PRPF6, LSM3, PRPF19, DDX41, GPATCH1, XAB2, ISY1, LSM2,
CACTIN, WDR83"
"GO:0005762","mitochondrial large ribosomal subunit",1.5892447,10,0.1155556,7.9e-54,3.8e-08,"MRPL33, MRPL19, MRPS30, MRPL3, MRPL46, MRPL42,
MRPL13, MRPL30, MRPL35, MRPL50, MRPL38, MRPL32, MTERF4","MRPL49, MRPL23, MRPL12, MRPL28, MRPL18, MRPL15,
MRPL22, MRPL2, MRPL4, MRPL37, MRPL51, MRPL27, MRPL48, MRPL16, MRPL20,
MRPS18A, MRPL17, MRPL14, MRPL41, MRPL40, MRPL36, MRPL34, MRPL11, MRPL9,
MRPL57, MRPL24, MRPL43, MPV17L2, MRPL54, MRPL52, MRPL10, MRPL55,
MRPL21"
"GO:0000502","proteasome complex",1.4698943,10,0.2679167,1.1e-52,0.03,"PSMA2, PSMA4, PSMC1, PSMC6, PSMD5, PSMD7, PSMD10,
PSMD12, PSMD14","HSPB1, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6,
PSMB7, PSMB8, PSMB9, PSMB10, PSMC3, PSMC4, PSMC5, PSMD2, PSMD3, PSMD4,
PSMD8, PSMD11, PSMD13, PSME1, PSME2, VCP, PSME3, ADRM1, PAAF1,
ZFAND2B"
"GO:1990904","ribonucleoprotein complex",1.4533786,10,0.7192708,1.8e-45,1.2e-16,"BRCA1, ZFP36L1, DDX1, DDX5, DHX9, FMR1, HNRNPA2B1,
HNRNPU, HSPA8, NCBP1, NCL, NPM1, NUP98, RPL5, RPS3A, RPS7, TOP2A, TOP2B,
XIST, XPO1, XRCC5, MKRN3, SLBP, PABPN1, HNRNPR, SYNCRIP, IGF2BP1, CPSF6,
CBX5, PABPC1, LARP7, PHAX, TEFM, ZC3H14, NSRP1, ZNF827, PATL2,
HNRNPA3","ACTB, EEF2, ELAVL1, GAPDH, HNRNPAB, HNRNPD, HNRNPH2,
HNRNPL, HSF1, HSPA1A, HSPA1B, IGHMBP2, YBX1, RPLP0, RPS3, RPS4X, RPS5,
RPS9, ZFP36, PABPC4, SRA1, RBM14, BOP1, RPL13A, NUP62, DAZAP1, AKAP8L,
SRRT, MEPCE, MRPL41, RNF135, ZC3H18, MRPL10, APOBEC3F"
"GO:0032040","small-subunit processome",1.4543399,10,0.3675,2.6e-39,5.6e-14,"PRKDC, RPS3A, RPS7, RPS17, XRCC5, NOP14, BMS1,
MPHOSPH10, WDR3, KRR1, WDR43, DIMT1, UTP20, DNTTIP2, FCF1, UTP18, NOP58,
HEATR1, UTP6, PNO1, UTP3, WDR75, UTP15, C1orf131, WDR36","FBL, SNU13, RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13,
RPS14, RPS15A, RPS16, RPS19, RPS27, RPS28, RRP9, WDR46, EMG1, TBL3,
AATF, RRP7A, NAT10, IMP3, DHX37, NOL6, RPS19BP1, IMP4"
"GO:0016605","PML body",1.5258264,10,0.2832292,1.2e-38,0.00047,"ATR, ATRX, BLM, CSNK2A1, EIF3E, MAGEA2, MRE11, NBN,
RB1, SATB1, SP100, TERT, SUMO1, ZMYM2, KAT6A, PIAS1, PIAS2, CASP8AP2,
TOPORS, TOPBP1, CHEK2, WDFY3, SMC5, SIRT1, CBX5, MORC3, ZNF451, KLHL20,
TDP2, SENP2, SMC6, MAGEA2B, NSMCE2","CDK9, CHD3, CSNK2B, DAXX, ELF4, HSF1, ISG20, LRCH4,
CIITA, PML, MAPK7, RNF4, SKI, SUMO3, TOP3A, TP53, UBE2I, ZBTB16, SQSTM1,
ZBED1, IKBKE, BASP1, TRIM16, PARK7, CHFR, TENM2, TRIM8, MLIP, SIMC1"
"GO:0022625","cytosolic large ribosomal subunit",1.2832411,10,0.4825,5.1e-38,9.1e-31,"RPL5, RPL7A, RPL17, RPL21, RPL36A","RPL3, RPL7A, RPL8, RPL10, RPL12, RPL13, RPL15, RPL18,
RPL18A, RPL19, RPL23A, RPL24, RPL30, RPL27A, RPL28, RPL29, RPL32, RPL37,
RPL37A, RPL38, RPL39, RPL41, RPLP0, RPLP1, RPLP2, UBA52, RPL14, RPL23,
RPL35, RPL13A, RPL36"
"GO:0005814","centriole",1.5653,8,0.072822,6.4e-37,0.029,"BBS4, CETN3, KIF2A, STIL, TOP2A, ALMS1, IFT88, OFD1,
CEP135, CCP110, CEP350, CEP170, MAGI2, MPHOSPH9, TOPORS, TUBGCP3, PLK4,
PLK2, SDCCAG8, KIF3A, CEP162, DZIP1, CEP152, ATXN10, CEP83, NIN, AHI1,
CNTLN, CEP192, CCDC88A, CENPJ, BCCIP, MDM1, STARD9, CCDC146, CEP85,
CEP97, CCDC102B, AGBL2, CEP76, CEP290, CEP63, CCDC68, CEP44, AGBL4,
CEP19, CEP295, CCSAP, SCLT1, CEP128, TTBK2, SPICE1, CEP120, SASS6,
DZIP1L, MAPK15, POC1B","CAPG, CCNF, CETN2, DCTN1, DNM2, GLE1, HTT, HSPA1A,
HSPA1B, ODF2, SSNA1, CEP250, CEP164, SIRT2, CBY1, POC1A, RTTN, C2CD3,
PLA2G3, CCHCR1, TSKS, CCDC92, AKNA, RAB34, ENKD1, CEP89, FBF1, CCDC120,
CNTROB, PPP1R35, CCDC57"
"GO:0005681","spliceosomal complex",1.4795015,10,0.2755208,3e-34,6.3e-08,"CDC5L, HNRNPA2B1, HNRNPH3, HSPA8, PLRG1, TRA2B,
SNRPA1, SNRPB2, SNRPD3, U2AF1, DDX39B, API5, PRPF18, RBM5, BCAS2, SLU7,
IVNS1ABP, CRNKL1, CWC22","DHX8, HNRNPM, SNRNP70, SNRPA, SNRPB, SNRPC, SNRPD2,
SNRPF, SNRPN, SF1, SF3A2, DHX16, SF3B4, SF3A1, TXNL4A, SF3B2, U2AF2,
TFIP11, GPKOW, PRPF19, DDX41, CTNNBL1, WDR83"
