"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0003735","structural constituent of ribosome",1.3385966,10,0.5375,1.4e-68,4.2e-47,"RPL5, RPL7A, RPL17, RPL21, RPL36A, RPS3A, RPS7,
RPS17, MRPS22, MRPS14","FAU, RPSA, RPL3, RPL7A, RPL8, RPL10, RPL12, RPL13,
RPL15, RPL18, RPL18A, RPL19, RPL23A, RPL24, RPL30, RPL27A, RPL28, RPL29,
RPL32, RPL37, RPL37A, RPL38, RPL39, RPLP0, RPLP1, RPLP2, MRPS12, RPS2,
RPS3, RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A,
RPS16, RPS19, RPS20, RPS26, RPS27, RPS28, RPS29, UBA52, RPL14, RPL23,
RPL35, RPL13A, RPL36, MRPS18B, MRPS16, MRPS7, MRPS2, MRPL51, MRPS21,
MRPS18A, MRPS24, MRPS15, MRPS11, MRPL41, MRPS34, MRPL57, MRPL52, MRPL10,
MRPL55"
"GO:0003723","RNA binding",1.4805636,10,0.6975,2.8e-44,1.1e-24,"NR0B1, BARD1, BRCA1, CASP7, DDX3X, DHX9, DHX15, DKC1,
FMR1, GRSF1, HNRNPA2B1, HNRNPH1, HNRNPU, AGFG1, IFIT1, IREB2, CAPRIN1,
MBNL1, NCL, NPM1, RNASEL, SRSF1, SRSF3, SRSF6, TRA2B, SNRPD3, SON, SRP9,
SRP19, SSB, TERT, TIA1, HSP90B1, XRCC5, YY1, MKRN3, FXR1, ZNF239,
DUSP11, EIF3A, RNMT, DZIP3, PUM1, ZBED4, RBM7, C1D, RAD51AP1, KHDRBS3,
KHDRBS1, CELF1, SRSF10, NUDT21, CPSF6, RCAN3, SCAF8, CPEB3, NCBP2, KIN,
PUM2, TARDBP, SF3B1, ADAT1, RBFOX2, IFIT5, UNC50, SERBP1, NUFIP1,
PABPC1, RBMX, MEX3C, CRNKL1, CPSF3, PSPC1, ZCCHC8, NUFIP2, CWC22, IFIH1,
RBM15, LIN28A, RPF1, MEX3B, NIFK, YTHDC1, MEX3A, NAF1, RBM45, RBM33,
DHX36, PATL2, RNASEH1, YTHDF3, LIN28B","ACO1, ADARB1, DRG2, EIF4G1, EIF5A, ELAVL1, FUS,
HMGA1, HNRNPD, IGHMBP2, MAPT, MOV10, YBX1, PCBP1, PCBP2, RANGAP1, UPF1,
RPL19, MRPL23, RPL30, RPL37, RPL38, RPL39, RPL41, MRPL12, RPS3, RPS14,
RPS16, SNRNP70, SNRPA, SNRPB, SNRPF, SURF6, SF1, NELFE, TAF15, RAE1,
EIF3B, EIF3D, EIF3G, ENDOU, NOL3, SETD1A, SF3A1, EMG1, PPIE, RNPS1,
RBPMS, DDX19B, DHX30, TRIM32, EXOSC7, JMJD6, ZC3H4, PRPF6, CCDC9, SND1,
GPKOW, RBM15B, GAR1, MOV10L1, WRAP53, NOP10, NHP2, MEPCE, SCAF4, TUT1,
ZC3H12A, ZBP1, SF3B5, APOBEC3F, PATL1"
"GO:0004674","protein serine/threonine kinase activity",1.4444161,10,0.2888636,3.2e-39,1.5e-09,"ACVR1, ACVR2A, ACVR2B, ATM, ATR, BMPR1A, BMPR1B,
BRAF, BUB1, CAMK2D, CDK1, CDK7, CHEK1, CLK1, MAPK14, CSNK1A1, CSNK1G3,
CSNK2A1, DAPK1, DYRK1A, GRK5, GSK3B, ILK, MARK1, MARK3, MAP3K1, MAP3K5,
NEK2, PAK2, PAK3, PDK3, PRKAA1, PRKAA2, PRKACB, PRKCE, PRKCI, PKN2,
PRKD1, PRKDC, MAPK6, MAPK8, MAPK9, MAP2K1, MAP2K6, EIF2AK2, RAF1, ROCK1,
RPS6KA3, RPS6KB1, SRPK1, SRPK2, NEK4, STK3, STK4, CDKL5, TAF1, MAP3K7,
TGFBR1, TOP1, TTN, VRK1, VRK2, DYRK2, CDC42BPA, MAP4K3, MAPKAPK5, CASK,
RIOK3, CPNE3, LATS1, RPS6KA5, STK17B, STK17A, MAP4K4, EIF2AK3, ROCK2,
ULK2, SLK, MELK, TLK1, OXSR1, AKT3, HIPK3, PLK4, PLK2, TLK2, MAP4K5,
CHEK2, IRAK3, AAK1, LMTK2, STK38L, TNIK, SMG1, STK39, TBK1, IRAK4,
TAOK3, CSNK1G1, SNRK, PBK, CLK4, TAOK1, WNK4, WNK3, STK33, TSSK3, MASTL,
LRRK2, UHMK1, ACVR1C, NEK7, TTBK2, PIKFYVE, CSNK2A3, TSSK4, EIF2AK4","ACVR1B, ACVRL1, AKT1, AKT2, ARAF, CAMK2A, CDK11B,
CDK2, CDK5, CDK9, CLK3, PLK3, CSNK1D, CSNK1E, CSNK1G2, CSNK2A2, CSNK2B,
DAPK3, DMPK, MARK2, MKNK2, GSK3A, IRAK1, LIMK1, LIMK2, MAP3K9, MAP3K10,
MAP3K11, PAK1, CDK16, PHKG2, PIM1, PLK1, PRKACA, PRKCD, PKN1, PRKCZ,
MAPK3, MAPK4, MAPK11, MAPK13, MAP2K2, MAP4K2, RPS6KA1, RPS6KB2, STK11,
SYK, MAP3K12, MAPKAPK3, ULK1, CDK10, MKNK1, RPS6KA4, MAP3K14, PKMYT1,
AURKB, MAPKAPK2, TAOK2, IKBKE, BCKDK, PAK4, TESK2, HTATIP2, ERN2, NEK6,
FASTK, RIPK3, PIM2, MAST1, DAPK2, PRKD2, ULK3, MINK1, CDC42BPG, FAM20C,
MARK4, PINK1, CDK15, WNK2, NUAK2, TSSK6, SIK1, PIM3, CDK11A"
"GO:0004672","protein kinase activity",1.3855649,10,0.1959091,2.5e-31,0.0087,"ACVR1, ATR, BRAF, BUB1, CDK1, CDK7, CDK8, CHEK1,
CHUK, CSNK1A1, CSNK1G3, DAPK1, DYRK1A, GSK3B, MAP3K1, MAP3K5, NEK1,
NEK2, PAK2, CDK17, PDK1, PDK3, PIK3CG, PRKAA1, PRKAA2, PRKCA, PRKCE,
PRKCI, PKN2, PRKDC, PRKG1, PRKG2, MAP2K1, EIF2AK2, RAF1, ROCK1, RPS6KA3,
RPS6KB1, MAP2K4, SRPK1, STK3, STK4, CDKL5, TAF1, TGFBR1, VRK1, CDC7,
MAP4K3, CDK13, DCLK1, STK17B, EIF2AK3, AKT3, HIPK3, MAP3K2, MAP4K5,
TNIK, SMG1, MMD, SGK3, NME7, CDKL3, CDK12, STK26, MYO3A, TAOK1, WNK3,
STRADA, LRRK2, TTBK2, NEK10, MAPK15","ABL1, AKT1, ARAF, CAD, CDK11B, CDK5, CDK9, CSNK1D,
CSNK1E, EPHA1, EPHA4, IRAK1, MAP3K3, MAP3K10, MAP3K11, PAK1, PDGFRB,
PDK2, PLK1, PRKAB1, PRKACA, PRKAG1, PRKCD, PKN1, PRKCZ, MAP2K5, RPS6KB2,
CCL3, CCL5, SRC, AURKC, SYK, TESK1, MAP3K12, MAP3K14, DYRK1B, MAPKAPK2,
TESK2, STK25, RIPK3, PRKD2, HSPB8, PKN3, MINK1, FAM20C, PINK1"
"GO:0031625","ubiquitin protein ligase binding",1.3419919,10,0.6352083,1e-26,1.4e-09,"APC, BRCA1, CASP8, CDKN1B, DBT, EGR2, FOXO1, GPR37,
GSK3B, HIF1A, UBE2K, DNAJA1, HSPA8, HSP90AA1, HSPD1, KCNH2, SMAD5,
MAGEA2, MDM2, ATXN3, TRIM37, NFE2L2, NGFR, POU5F1, PRKACB, PRKAR1A,
PRKAR2A, PRKAR2B, RALA, RALB, RB1, RPL5, HLTF, TGFBR1, TRAF1, TRAF5,
UBE2B, UBE2G1, SUMO1, XRCC5, CUL5, FZD6, FZD8, SPOP, CUL4A, CUL3, CUL2,
CUL1, BLZF1, BECN1, NAE1, BCL10, USP13, RNF8, BAG5, BAG4, TANK, DNM1L,
LRPPRC, ABI2, CCT2, GLMN, ERLIN2, CHEK2, SYT11, ARIH1, UBXN7, PTPN22,
UBE2T, USP25, MAGEC2, UBE2J1, JKAMP, DET1, FANCL, UBE2W, FBXW7, YOD1,
RNF20, RAD18, ANKRA2, MOAP1, SMC6, SLF1, RFFL, CCDC50, ZNF675, SHPRH,
MAGEA2B","ACTG1, ACVR1B, APBB1, ARRB1, ARRB2, AUP1, BAG1, CALR,
CD40, CDKN1A, CKB, CLU, DAXX, DIO2, DTX1, EGFR, FHIT, GPI, HSPA1A,
HSPA1B, HSPA1L, JUN, LTBR, SMAD6, MC1R, NDUFS2, NEDD8, NFKBIA, SLC22A18,
PA2G4, PCBP2, PER1, PML, POLR2A, PRKACA, RELA, SKI, TMBIM6, TNFRSF1B,
TP53, TPI1, TRAF2, UBE2L3, UCHL1, UQCRC1, VCP, WFS1, LAPTM5, BAG6,
AXIN1, AXIN2, IKBKG, TNFRSF14, SQSTM1, USP2, MFHAS1, RPL23, EIF4E2,
PRDX6, IKBKE, KDM4A, RNF40, MFN2, RBX1, HDAC6, SCAMP3, TRIM28, TNK2,
STUB1, TUBA1B, TXNIP, RRAGA, NEK6, TRIOBP, GABARAP, UBOX5, SMG5, PATZ1,
HSPBP1, GABARAPL1, FBXO7, UBXN1, PIAS4, WRAP53, OTUB1, AMBRA1, TRIB3,
PINK1, DERL1, MUL1, HM13, MAP1LC3A, NKD2, FATE1, ARRDC1, UBE2J2,
TUBB"
"GO:0061629","RNA polymerase II-specific DNA-binding transcription
factor binding",1.2633715,10,0.175,3.5e-24,0.0036,"NR0B1, AHR, AR, BBS1, BBS2, BBS4, CREB1, ATF2, DHX9,
DNMT3A, EGR2, ESRRB, ETS1, GSK3B, GTF2I, HDAC2, HIF1A, HMGB1, RBPJ,
MEF2A, MEF2C, NFE2L2, PRRX1, PPARA, PRKDC, RBBP8, REST, SMARCA1, SP1,
SP3, STK4, TAF1, TBX3, TCF7L2, TP53BP1, HMGA2, MKKS, PIAS2, NCOR1,
HDAC9, TCERG1, ZFPM2, SIN3A, UBXN7, ANKRD1, BBS7, BEX1, TBX20, NIF3L1,
BBS10, MTDH, UHRF2, ZBTB8A","ADD1, ATF4, CD34, CEBPA, CHD4, CSNK2B, DAXX, E4F1,
ELK1, EPAS1, ETS2, FBP1, FOS, GATA2, GATA3, HCLS1, HDAC1, HNF4A, HES1,
HSPB1, IFI27, JUN, LMO2, MEF2D, NFATC1, PITX1, PITX2, SPI1, TBX6, TEAD3,
TP53, TP73, HIRA, LDB1, MTA1, MTA2, KLF4, SETD1A, KEAP1, RBX1, HDAC5,
MAD2L2, WWP2, ANKRD2, HES6, DMAP1, SOX17, DDRGK1, DUSP26, BHLHE41, KAT8,
FIZ1, MYOCD, GSC, ZFPM1, SDR16C5"
"GO:0003700","DNA-binding transcription factor activity",1.1488063,6,0.0351768,1.1e-23,3.8e-07,"AHR, AR, ATF1, BACH1, KLF9, CREB1, ATF2, DLX2, DLX6,
E2F3, EGR2, ELF1, ESRRB, ETS1, ETV1, MECOM, FOXO1, FLI1, NR5A2, GABPA,
NR3C1, HIF1A, FOXA3, HNF4G, HOXA5, HOXD13, RBPJ, LHX1, SMAD4, SMAD9,
MEF2A, MEF2C, MEOX2, MTF1, MYCN, NFATC2, NFE2L2, NFKB1, NFYA, NFYB,
PAX6, PKNOX1, PLAG1, POU3F2, POU5F1, PPARA, REST, RFX3, RORA, SOX2,
SOX5, SOX11, SP1, STAT1, STAT4, TCF4, TCF7L2, ZEB1, TCF12, TEAD1, NR2F2,
TFDP1, NR2C2, TRPS1, ZBTB14, ZBTB25, ZNF175, ZNF217, KLF11, CLOCK,
CREB5, NFE2L3, ARNT2, NR1I3, CTCF, NFAT5, ZHX1, KLF12, POU6F2, ATF6,
ZNF281, ZNF639, PRDM10, ZNF410, E2F8, CSRNP3, CSRNP2, FOXP2, E2F7,
ZBTB38","ATF4, BCL6, FOXL2, RUNX3, CEBPA, ATF6B, DLX3, E2F1,
E2F4, ELF3, ELK1, NR2F6, ESRRA, ETV6, FOXF2, FOXE1, FOXS1, FOS, FOSL2,
GATA2, GATA3, HIC1, HNF4A, HOXC5, FOXK2, IRF3, IRF4, IRF6, JUN, LMX1B,
MEOX1, FOXO4, MNT, NFATC1, NFE2L1, NFIC, NFIX, NFKB2, NFYC, PITX1,
PITX2, POU3F1, POU4F3, POU6F1, PPARD, PPARG, RARA, RELA, RFX2, RXRA,
SOX9, SOX10, SPI1, SREBF1, SRF, STAT2, STAT5A, STAT6, TBX1, TCF15,
TEAD4, TEAD3, TFE3, TGIF1, THRA, TP53, TP73, USF2, VDR, XBP1, ZBTB17,
ZNF174, TFEB, MAFK, TP63, MSC, SOX13, ZNF263, KLF2, BATF, KLF1, SOX21,
ATF5, AHDC1, FOXP3, ZNF219, ZBTB7A, HES6, MESP1, SLC2A4RG, CSRNP1,
GRHL2, SOX7, ZGPAT, ATOH8, DMBX1, ZNF746, MAFA"
"GO:0003714","transcription corepressor activity",1.3541066,10,0.3088542,1.9e-23,0.0024,"NR0B1, CTBP2, DNMT3A, EZH2, HMGB1, HNRNPU, NPAT,
PAWR, PFDN5, MED1, RB1, RBBP8, HMGA2, NRIP1, PIAS1, URI1, SAP30, CDYL,
CIR1, NCOR1, HDAC9, CASP8AP2, YAF2, AASS, YAP1, N4BP2L2, ZMYND11,
TCERG1, SIRT1, ZFPM2, RBFOX2, ZMYND8, EID1, NIPBL, SIN3A, ZNF451,
ANKRD1, BRD7, CNOT7, TDP2, YEATS2, CCAR1, NSD1, TBL1XR1, PARP9, LCOR,
ZNF354B, PARP15, BEND6, SCAI","CCND1, BCL3, CBFA2T3, CHD4, CRYM, CTBP1, DAXX, ATN1,
ENO1, FHL2, HDAC1, HDGF, HSPA1A, DNAJB1, MECP2, MAP3K10, NAB2, PA2G4,
PEX14, DPF2, SIAH2, SMARCA4, TLE1, HIRA, SF1, UXT, CBX4, HDAC3, MTA1,
NCOR2, TRIM28, BASP1, MYBBP1A, PPP1R13L, RUVBL2, ARID5A, TCF25, IRF2BP1,
NOC2L, SUFU, WNT4, HIF1AN, PBXIP1, PHF12, TRIB3, DDX54, FLYWCH1, AJUBA,
ZNF653, ZFPM1, SDR16C5"
"GO:0003729","mRNA binding",1.5330453,10,0.54,2.8e-22,3.3e-08,"ZFP36L1, DDX3X, DHX9, DHFR, EIF4A1, FMR1, GRSF1,
CAPRIN1, NOVA1, NUP98, PURB, SRSF1, TRA2B, TPR, SLBP, QKI, RBM5,
IGF2BP1, CELF1, NUDT21, CPSF6, NCBP2, PEG10, TDRD7, PABPC1, RBMX,
LUC7L3, METTL3, DHX33, METTL14, RBM25, RBM15, UPF3B, UPF3A, NKAP,
LIN28A, NSRP1, FYTTD1, HNRNPLL","ADARB1, CALR, DXO, EIF4G1, ELAVL1, HNRNPAB, PCBP1,
PKM, RPS2, RPS3, RPS5, RPS13, RPS26, SLPI, ZFP36, NELFE, PIWIL1, EIF4A3,
PPIE, PARK7, CLUH, ESRP2, ZC3H12A, NUDT16, RBPMS2"
"GO:0003682","chromatin binding",1.3154974,10,0.58,6.4e-22,3.4e-08,"AR, ATRX, CCNT2, DDX1, EGR2, ELK4, ERCC6, EZH2,
FOXO1, FMR1, NR5A2, HDAC2, HNRNPU, MEF2A, MLLT3, MSH2, POLA1, MED1,
PRKAA1, PRKAA2, REST, RNF2, SFPQ, SMARCE1, TFAM, TOP1, TOP2A, TOP2B,
TPR, MLLT10, SMC1A, URI1, TRIM24, KAT2B, MCM3AP, RNF8, CDYL, POLR3G,
POLQ, NFAT5, ZNF274, L3MBTL1, ANKRD17, VCX, DNAJC2, RBMX, UBE2T, GMNN,
WAC, MPHOSPH8, HPF1, CHD7, MBD5, FANCM, NSD1, IKZF5, NUCKS1, NKAP,
MCMBP, L3MBTL3, MCM8, GLYR1, PWWP2A, ZNF354B, FOXN4, RNF168, ZNF431,
PRIMPOL, MAPK15, MCM9, ZFP57, SETSIP","APBB1, BCL6, CDK9, CSNK2B, DDX11, EGFR, FUS, GATA2,
GPER1, HCFC1, HMGA1, SMAD6, MPO, CITED1, POLD1, POLE, PPARG, PKN1, RARA,
RELA, UPF1, SAFB, SHMT2, SOX9, SPI1, SSBP1, SUV39H1, TFAP2A, TP53, UBTF,
NELFE, CHAF1B, BAP1, UXT, HDAC3, CHAF1A, TRIM28, KAT5, ATF5, BAHD1,
DHX30, SIRT2, NCOA6, CAMTA2, BRD4, NOC2L, PELP1, SIRT7, SIRT6, BCAS3,
APTX, ACSS2, KDM8, ZC3H12A, CDT1, GRWD1, SAMD1, CREB3L1, MBD6, KLHDC3,
PHF13, LRWD1"
