"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000115419.13",6049.76881886569,1.6860316724534,0.0786128350997962,21.4472823720585,4.84122277863972e-102,1.20013912682479e-97,"GLS"
"ENSG00000080345.18",3223.56203466066,1.41898987920683,0.0845897813326956,16.7749562281746,3.72133161235775e-63,4.61259053351743e-59,"RIF1"
"ENSG00000135968.21",1650.6733522818,1.50478325195519,0.101688920302481,14.7979076528603,1.5111051761949e-49,1.24867657726238e-45,"GCC2"
"ENSG00000172845.17",3889.04703454253,1.07357880322507,0.07422827303082,14.463205991325,2.06930270678653e-47,1.28245035253095e-43,"SP3"
"ENSG00000115020.17",2541.64711928756,1.05558675413108,0.073817490294881,14.2999545218118,2.18952593332727e-46,1.08556695774366e-42,"PIKFYVE"
"ENSG00000064933.18",748.711914595344,1.25838187950619,0.0883027032837325,14.2507741293353,4.43339292477368e-46,1.83173017675232e-42,"PMS1"
"ENSG00000115827.14",860.31317233315,1.02147442037357,0.0719577321116103,14.1954782397701,9.77175257720305e-46,3.46059637698377e-42,"DCAF17"
"ENSG00000196504.19",4877.86611745747,1.11292546034039,0.0785025861761576,14.1769273415148,1.27299517980756e-45,3.94469381342868e-42,"PRPF40A"
"ENSG00000123607.15",982.053827105329,1.17193631122057,0.0832553429284204,14.0764096332911,5.30366861686343e-45,1.46086605568938e-41,"TTC21B"
"ENSG00000105404.11",632.907824029408,-1.64060598521511,0.116918743201367,-14.0320186506754,9.92847114482869e-45,2.46126799680303e-41,"RABAC1"
"ENSG00000138398.17",2940.9376522892,1.28068371841927,0.0914122879373937,14.0099733560589,1.35455786224678e-44,3.05268085500888e-41,"PPIG"
"ENSG00000115524.17",14149.2137630091,0.870855976642707,0.0624489708669016,13.9450813128494,3.37063670722055e-44,6.96317366433313e-41,"SF3B1"
"ENSG00000162971.11",456.078273265042,1.14040435478108,0.0819353059996891,13.9183510803682,4.90080292736572e-44,9.34545419764586e-41,"TYW5"
"ENSG00000134318.14",2491.69788384845,1.2368098290999,0.0891628691488154,13.8713552054457,9.44747892550507e-44,1.67287858973765e-40,"ROCK2"
"ENSG00000099330.9",1105.53602593735,-1.4851505513199,0.108607153212925,-13.6745187345832,1.44157888134425e-42,2.38244936456827e-39,"OCEL1"
"ENSG00000118260.15",1952.37302157471,1.01269657763246,0.0741172446889237,13.6634406997027,1.67861053934045e-42,2.60079720439062e-39,"CREB1"
"ENSG00000205155.8",985.896102503812,-1.391988553416,0.102804475459066,-13.5401552043349,9.05973004680966e-42,1.3211218109436e-38,"PSENEN"
"ENSG00000115966.17",2157.77700423494,1.06748108179903,0.0790667334697605,13.5010140795471,1.54238390885772e-41,2.12420539447682e-38,"ATF2"
"ENSG00000153201.16",5993.29145733949,1.0216799517934,0.0760460499139343,13.435016716183,3.76983197426779e-41,4.91863866537361e-38,"RANBP2"
"ENSG00000144357.18",2051.3453349847,0.990674975885995,0.0737607697751366,13.4309197003518,3.98432224522145e-41,4.93856742295199e-38,"UBR3"
"ENSG00000135945.10",1205.85455899578,1.00896831270294,0.0760385249762595,13.2691726071483,3.49417387268753e-40,4.12478906209161e-37,"REV1"
"ENSG00000099797.15",9167.86703842573,-1.56458866873897,0.117962724623247,-13.2634158267876,3.77310118676082e-40,4.25159901908185e-37,"TECR"
"ENSG00000275052.5",4031.23879442487,1.12101921951966,0.0850968581015854,13.1734501664143,1.24763225001354e-39,1.34473058599286e-36,"PPP4R3B"
"ENSG00000144306.15",785.503922741303,1.09046829026761,0.0828607582946349,13.1602499507685,1.48593485159473e-39,1.53484687379305e-36,"SCRN3"
"ENSG00000170906.16",2966.96133027996,-1.42459227723923,0.109119704688191,-13.0553164647026,5.92632551611722e-39,5.87654438178183e-36,"NDUFA3"
"ENSG00000105518.14",1133.83500953471,-1.3570867968692,0.104163284540165,-13.0284562632614,8.42958947329448e-39,8.03728934780655e-36,"TMEM205"
"ENSG00000149932.17",6110.74746407319,-1.03046367447428,0.0793755507609138,-12.9821294415724,1.54523822537992e-38,1.4187576150803e-35,"TMEM219"
"ENSG00000152133.16",798.950596074196,1.11099415227147,0.0857741579939016,12.9525509577192,2.27274191511042e-38,1.9897357146282e-35,"GPATCH11"
"ENSG00000163510.14",1374.31349771663,1.09777816444232,0.084765810163741,12.9507187192779,2.32764565244928e-38,1.9897357146282e-35,"CWC22"
"ENSG00000119778.15",598.285551804671,1.06552030445522,0.0823664272091074,12.9363423977361,2.80677315442205e-38,2.31933021660408e-35,"ATAD2B"
"ENSG00000067829.19",4183.85812457113,-1.12164290914841,0.0870561450784111,-12.8841325117044,5.52937311151112e-38,4.42171482046325e-35,"IDH3G"
"ENSG00000125971.17",626.271517322629,-1.50390212073856,0.116759761129526,-12.8803117288861,5.81004166918036e-38,4.50096665559316e-35,"DYNLRB1"
"ENSG00000115750.17",707.887581448702,1.11611374973088,0.0867393138669867,12.8674496024078,6.8631093927847e-38,5.15565096506463e-35,"TAF1B"
"ENSG00000163535.18",647.349092712747,1.85706868273505,0.14444781668816,12.8563291942596,7.92517589232724e-38,5.77838559914095e-35,"SGO2"
"ENSG00000135999.12",1563.62715591218,0.993008563263667,0.0775922436758688,12.797781275817,1.68702623031643e-37,1.19489657855841e-34,"EPC2"
"ENSG00000229809.8",784.876422175472,-1.19153095317071,0.0933773530524209,-12.7603847637639,2.72850020149316e-37,1.8788755554171e-34,"ZNF688"
"ENSG00000197713.15",1744.03382116739,0.927123637632253,0.0730095624119937,12.6986603809578,6.01505112639025e-37,4.03008425468147e-34,"RPE"
"ENSG00000103145.11",3077.32086369981,-1.54513699448229,0.121913721423032,-12.6740204174457,8.23814040471846e-37,5.37430264823607e-34,"HCFC1R1"
"ENSG00000182154.8",2603.93624909451,-1.67147266052088,0.132274839173195,-12.6363613138272,1.33070971967857e-36,8.45853691046965e-34,"MRPL41"
"ENSG00000128923.11",1955.36502368257,1.36510703959905,0.108133981198777,12.6242188113803,1.55274671907083e-36,9.62314779144148e-34,"MINDY2"
"ENSG00000138434.17",8269.37212043474,1.57352244376946,0.124829644786977,12.6053586586319,1.97273151657583e-36,1.19278083648573e-33,"ITPRID2"
"ENSG00000175548.9",595.696469614647,1.28141630296487,0.101779991862788,12.5900609688825,2.39488323557566e-36,1.41355131928382e-33,"ALG10B"
"ENSG00000138081.21",1505.2029590966,0.931621465974796,0.0740433258200065,12.5821126436094,2.64850829057085e-36,1.52689582612212e-33,"FBXO11"
"ENSG00000089048.14",1331.77694224369,1.25304936433045,0.0998549558470277,12.5486947913737,4.0411617908141e-36,2.27682729077913e-33,"ESF1"
"ENSG00000105669.14",6204.90887918429,-1.29014523628114,0.102962095135784,-12.5302931586593,5.09739069750979e-36,2.80809589758373e-33,"COPE"
"ENSG00000173511.10",9828.04468990735,-1.36094336387764,0.108677723078446,-12.5227445453129,5.60624857117107e-36,3.02128047998545e-33,"VEGFB"
"ENSG00000155744.9",733.761185984068,1.07907393746771,0.0863394558294026,12.4980395938543,7.65149237936579e-36,4.03575523583996e-33,"FAM126B"
"ENSG00000170802.16",1813.51994506784,1.38320233181414,0.110727941057141,12.4918996832095,8.26561382493145e-36,4.26884514000105e-33,"FOXN2"
"ENSG00000088205.13",4563.39702470311,0.905500675566398,0.0725465105887394,12.4816571909242,9.40094105030235e-36,4.75610874769378e-33,"DDX18"
"ENSG00000103363.15",9879.79538166304,-1.25599395898112,0.100695071160116,-12.4732416841332,1.04487245182955e-35,5.18047761617091e-33,"ELOB"
"ENSG00000176101.12",3243.99522432437,-1.26809250932245,0.101749699124168,-12.4628624972636,1.19020450619836e-35,5.7853273938544e-33,"SSNA1"
"ENSG00000188529.15",4455.10158152104,0.904630526680619,0.0726266471948841,12.4559037436103,1.2987190920268e-35,6.19139351756623e-33,"SRSF10"
"ENSG00000141741.12",1671.23091125894,-1.10010665355894,0.0886520708589015,-12.4092606399445,2.32792503380372e-35,1.08885399222631e-32,"MIEN1"
"ENSG00000115816.15",1760.6047065752,1.35831864089896,0.109486092176766,12.406312198137,2.41523260838737e-35,1.10877067336894e-32,"CEBPZ"
"ENSG00000198736.12",1503.06652774565,-1.13616516526335,0.0920073728393537,-12.3486317476656,4.95469168097225e-35,2.23321466856913e-32,"MSRB1"
"ENSG00000117984.15",54100.5088796337,-2.05608050402806,0.1666191673976,-12.339999870013,5.51559720798639e-35,2.44163669260683e-32,"CTSD"
"ENSG00000146066.3",3063.12696794007,-1.36769609793501,0.11130820594402,-12.2874687120809,1.0576623377862e-34,4.59990339538946e-32,"HIGD2A"
"ENSG00000054148.18",3818.01314038919,-1.50077730402194,0.122227289092156,-12.2785780096161,1.18054992224947e-34,4.96031060551939e-32,"PHPT1"
"ENSG00000107223.13",12391.8081279802,-1.1993732175956,0.0976702689309587,-12.2798189328568,1.16258161454915e-34,4.96031060551939e-32,"EDF1"
"ENSG00000110717.13",6321.75663639433,-1.57152247367247,0.128137350052481,-12.264359088344,1.40721307667312e-34,5.80412812794141e-32,"NDUFS8"
"ENSG00000115942.9",976.551517013052,0.726890169022,0.0592742973249118,12.263159612632,1.42820417831555e-34,5.80412812794141e-32,"ORC2"
"ENSG00000178057.15",4199.31654491931,-1.34513173367334,0.109781816475663,-12.2527735180218,1.62347125965072e-34,6.4912665365712e-32,"NDUFAF3"
"ENSG00000136536.15",2857.85283714112,1.02630448303583,0.0838993912172125,12.2325617402725,2.08265242907392e-34,8.19507201853054e-32,"MARCHF7"
"ENSG00000131408.15",6631.46359088077,-1.02404773763562,0.0837750999161123,-12.2237722027314,2.32061377066011e-34,8.98875240229127e-32,"NR1H2"
"ENSG00000140990.15",4786.61744929856,-1.01109586305632,0.0828086481854046,-12.2100273970483,2.7479662465676e-34,1.04803205003709e-31,"NDUFB10"
"ENSG00000027847.14",1973.28600617822,-1.0247057198994,0.0841677563132854,-12.174563809035,4.24658211144465e-34,1.59504197791989e-31,"B4GALT7"
"ENSG00000169976.7",4016.69243306013,-1.05639559039318,0.0868080014663012,-12.1693343073135,4.52759865713413e-34,1.67521150313963e-31,"SF3B5"
"ENSG00000163191.6",24372.283947249,-1.48144394169021,0.122001700941091,-12.1428138317968,6.26344062985287e-34,2.28339254726548e-31,"S100A11"
"ENSG00000100949.14",2124.73560077659,-1.12391902019307,0.0926050738059765,-12.1366894274915,6.7502279135032e-34,2.42519057935861e-31,"RABGGTA"
"ENSG00000130748.7",370.06676639408,-1.59236855035918,0.131234233669306,-12.1337893767243,6.99366624052081e-34,2.47675694432158e-31,"TMEM160"
"ENSG00000141349.8",7627.1987606438,-1.37660384895285,0.113731870236188,-12.1039410157772,1.00660028833712e-33,3.51459452787004e-31,"G6PC3"
"ENSG00000099795.7",5028.61281856358,-1.27388191563626,0.105332511778181,-12.0939099821233,1.13741876781153e-33,3.91619600750664e-31,"NDUFB7"
"ENSG00000077232.18",6345.62134202826,0.955111874487765,0.079381901798171,12.0318593136776,2.41656489821724e-33,8.20638956531581e-31,"DNAJC10"
"ENSG00000198356.12",4885.81783418729,-0.944241180617174,0.0785058484694499,-12.0276539777112,2.54283892014514e-33,8.51851038248622e-31,"GET3"
"ENSG00000108479.12",2329.5238143025,-1.47860721144401,0.123103576990207,-12.0110824363913,3.10750724837434e-33,1.02713472916267e-30,"GALK1"
"ENSG00000160446.19",2101.68806339455,-1.50402395729938,0.125274293461212,-12.0058466565215,3.31058434729284e-33,1.07986034170249e-30,"ZDHHC12"
"ENSG00000198586.14",2379.14801195669,0.978968766337345,0.0815691028372704,12.0017106022409,3.48028063170857e-33,1.12046956961111e-30,"TLK1"
"ENSG00000144445.17",605.18097576583,1.17031114800829,0.0976916468729919,11.9796439661807,4.54270390098224e-33,1.44376448340192e-30,"KANSL1L"
"ENSG00000135913.11",404.11489954498,1.31108461013384,0.109573487098029,11.9653453116892,5.39725857548261e-33,1.69364607704068e-30,"USP37"
"ENSG00000165338.17",472.791230284174,1.55679060270402,0.130161112283563,11.9604893918889,5.7223671140648e-33,1.77321850947083e-30,"HECTD2"
