"","sample","ENSG00000115419_logTPM","group"
"1","TCGA-ER-A19B-06A-11R-A18S-07",6.64221491227006,"High"
"2","TCGA-D3-A2JG-06A-11R-A18T-07",4.50833356844244,"Low"
"3","TCGA-EE-A2GO-06A-11R-A18S-07",5.42235075316857,"Middle"
"4","TCGA-FS-A1ZT-06A-11R-A18U-07",6.09418538880192,"High"
"5","TCGA-EB-A5VV-06A-11R-A32P-07",5.99652433171541,"High"
"6","TCGA-EE-A184-06A-11R-A18S-07",4.55344037776613,"Low"
"7","TCGA-FS-A1ZU-06A-12R-A18T-07",5.62524710676963,"Middle"
"8","TCGA-ER-A2NE-06A-21R-A18T-07",6.12130971389283,"High"
"9","TCGA-FS-A1YW-06A-11R-A18T-07",4.24930121608591,"Low"
"10","TCGA-EB-A5SH-06A-11R-A311-07",2.26615686364662,"Low"
"11","TCGA-D3-A51T-06A-11R-A266-07",4.63307659627962,"Low"
"12","TCGA-RP-A694-06A-11R-A311-07",5.31258531202109,"Middle"
"13","TCGA-ER-A19L-06A-12R-A18S-07",5.97351943968502,"High"
"14","TCGA-EE-A2GK-06A-11R-A18S-07",5.6568309775044,"Middle"
"15","TCGA-Z2-AA3S-06A-11R-A39D-07",5.25842847077598,"Middle"
"16","TCGA-WE-A8JZ-06A-11R-A37K-07",5.77134156091698,"High"
"17","TCGA-EE-A2A6-06A-11R-A18T-07",6.01247704962606,"High"
"18","TCGA-ER-A19E-06A-11R-A18S-07",6.02269848522377,"High"
"19","TCGA-D3-A5GR-06A-11R-A27Q-07",5.87840655990825,"High"
"20","TCGA-FS-A1Z3-06A-11R-A18T-07",6.96222972537979,"High"
"21","TCGA-EE-A29T-06A-11R-A18T-07",5.25989011456987,"Middle"
"22","TCGA-D3-A51N-06A-11R-A266-07",5.08318357777832,"Middle"
"23","TCGA-EE-A181-06A-11R-A18S-07",5.29822573543665,"Middle"
"24","TCGA-EE-A29V-06A-12R-A18S-07",2.58652457437824,"Low"
"25","TCGA-FS-A1ZK-06A-11R-A18T-07",4.8515191911699,"Middle"
"26","TCGA-D3-A2JH-06A-11R-A18T-07",5.9277613724752,"High"
"27","TCGA-D3-A1Q3-06A-11R-A18T-07",5.31004922535138,"Middle"
"28","TCGA-EE-A2GC-06A-11R-A18T-07",5.36136131604763,"Middle"
"29","TCGA-ER-A1A1-06A-11R-A18U-07",5.62662311239056,"Middle"
"30","TCGA-YG-AA3O-06A-11R-A38C-07",5.69818235482238,"Middle"
"31","TCGA-WE-A8K5-06A-11R-A37K-07",5.406890361956,"Middle"
"32","TCGA-FS-A1ZW-06A-12R-A18T-07",5.30871399109728,"Middle"
"33","TCGA-GN-A267-06A-21R-A18T-07",3.88663793542661,"Low"
"34","TCGA-FS-A1ZZ-06A-11R-A18S-07",5.90594532074541,"High"
"35","TCGA-D3-A8GC-06A-11R-A37K-07",5.93221947726682,"High"
"36","TCGA-FR-A7U8-06A-21R-A352-07",4.78362427803265,"Middle"
"37","TCGA-EE-A2GU-06A-11R-A18T-07",6.63919308490491,"High"
"38","TCGA-D3-A2JL-06A-11R-A18S-07",3.83243435430701,"Low"
"39","TCGA-EE-A29X-06A-11R-A18T-07",4.20914919785557,"Low"
"40","TCGA-EE-A3JI-06A-11R-A21D-07",7.24924906204483,"High"
"41","TCGA-EE-A3JH-06A-11R-A21D-07",3.92743191076616,"Low"
"42","TCGA-DA-A1IA-06A-11R-A18S-07",2.51606559000435,"Low"
"43","TCGA-D3-A3C1-06A-12R-A18S-07",3.79230356693382,"Low"
"44","TCGA-EE-A3JA-06A-11R-A20F-07",5.34542831191147,"Middle"
"45","TCGA-ER-A19A-06A-21R-A18U-07",5.24239290743097,"Middle"
"46","TCGA-GF-A6C9-06A-11R-A311-07",4.68867273833914,"Low"
"47","TCGA-EE-A2MK-06A-11R-A18S-07",4.7266132708064,"Low"
"48","TCGA-RP-A693-06A-13R-A311-07",6.32066698906951,"High"
"49","TCGA-D9-A3Z1-06A-11R-A239-07",5.23215418982013,"Middle"
"50","TCGA-DA-A95W-06A-11R-A37K-07",5.35581973099685,"Middle"
"51","TCGA-EE-A2MS-06A-11R-A18S-07",4.91230495633098,"Middle"
"52","TCGA-D3-A51H-06A-12R-A266-07",5.08282604414056,"Middle"
"53","TCGA-3N-A9WC-06A-11R-A38C-07",5.43129534115925,"Middle"
"54","TCGA-3N-A9WB-06A-11R-A38C-07",5.19131786446739,"Middle"
"55","TCGA-EE-A2M6-06A-12R-A18S-07",6.75911454485433,"High"
"56","TCGA-WE-A8ZR-06A-11R-A37K-07",6.09081321391966,"High"
"57","TCGA-D9-A3Z3-06A-11R-A239-07",3.587148930576,"Low"
"58","TCGA-Z2-AA3V-06A-11R-A39D-07",1.73070516099876,"Low"
"59","TCGA-EE-A29S-06A-11R-A18T-07",5.88213190244396,"High"
"60","TCGA-DA-A1I1-06A-12R-A18U-07",4.92817605543522,"Middle"
"61","TCGA-EE-A17X-06A-11R-A18S-07",4.87901463608754,"Middle"
"62","TCGA-DA-A1IC-06A-11R-A18S-07",5.99569932424723,"High"
"63","TCGA-EE-A2MT-06A-11R-A18S-07",5.35770330372512,"Middle"
"64","TCGA-D3-A5GU-06A-11R-A27Q-07",5.587382994506,"Middle"
"65","TCGA-D3-A8GK-06A-11R-A37K-07",5.16196827761397,"Middle"
"66","TCGA-DA-A1HW-06A-11R-A18U-07",5.43543524396048,"Middle"
"67","TCGA-EE-A29E-06A-11R-A18T-07",4.5528996029403,"Low"
"68","TCGA-ER-A3PL-06A-11R-A239-07",4.98411536131308,"Middle"
"69","TCGA-D3-A3MO-06A-11R-A21D-07",5.6191899566936,"Middle"
"70","TCGA-EE-A2A5-06A-11R-A18T-07",5.44259853441663,"Middle"
"71","TCGA-FS-A4F5-06A-11R-A266-07",5.30466435651685,"Middle"
"72","TCGA-EE-A3AE-06A-11R-A18S-07",5.225918846435,"Middle"
"73","TCGA-EE-A29G-06A-12R-A18T-07",4.47566858928271,"Low"
