"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0071013","catalytic step 2 spliceosome",1.4555749,10,0.545,3.7e-57,1.3e-24,"CDC5L, DDX5, FRG1, HNRNPA2B1, HNRNPF, HNRNPH1,
HNRNPU, PNN, SRSF1, SNRPA1, SNRPB2, SNRPD3, U2AF1, AQR, HNRNPR, SRRM1,
CWC27, SYNCRIP, SLU7, PPWD1, SF3B1, SYF2, PABPC1, RBMX, CRNKL1, CDC40,
PPIL3, ZCCHC8, CWC22, DHX35, HNRNPA3","DHX8, MAGOH, SNRPB, SNRPD2, SNRPF, SF3A2, SART1,
EFTUD2, DDX23, EIF4A3, ALYREF, SF3A1, PRPF8, SF3B2, RALY, TFIP11, PRPF6,
LSM3, PRPF19, DDX41, XAB2, ISY1, LSM2, CACTIN, WDR83"
"GO:0022626","cytosolic ribosome",1.34878,10,0.565,5.5e-55,2.2e-35,"EEF1A1, ETF1, GSPT1, ABCE1, RPL5, RPL7A, RPL17,
RPL21, RPL31, RPL36A, RPS3A, RPS7, RPS10, RPS17, USP10, NEMF, HBS1L,
ASCC3, LTN1, EIF2AK4","FAU, RPSA, RPL3, RPL7A, RPL8, RPL10, RPL12, RPL13,
RPL18, RPL18A, RPL19, RPL23A, RPL27A, RPL28, RPL29, RPL32, RPL37,
RPL37A, RPL38, RPLP0, RPLP1, RPS2, RPS3, RPS4X, RPS5, RPS9, RPS11,
RPS14, RPS15, RPS16, RPS19, RPS20, RPS27, UBA52, RPL14, RNF10, GCN1,
RPL35, RPL36, PELO, RNF25, ASCC2, ZNF598"
"GO:0000502","proteasome complex",1.6375218,10,0.355,1.2e-52,5.1e-26,"PSMA2, PSMA4, PSMC6, PSMD1, PSMD5, PSMD7, PSMD10,
PSMD12, PSMD14","HSPB1, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6,
PSMB7, PSMB8, PSMB9, PSMB10, PSMC3, PSMC4, PSMC5, PSMD2, PSMD3, PSMD4,
PSMD8, PSMD11, PSMD13, PSME1, PSME2, VCP, PSME3, ADRM1, PAAF1,
ZFAND2B"
"GO:1990904","ribonucleoprotein complex",1.4167324,10,0.74,2.6e-46,2.3e-30,"BRCA1, DDX1, DDX5, DHX9, FMR1, HNRNPA2B1, HNRNPU,
NCBP1, NCL, NPM1, RPL5, RPS3A, RPS7, TOP2A, TOP2B, XPO1, XRCC5, MKRN3,
PABPN1, HNRNPR, SYNCRIP, IGF2BP1, CPSF6, CBX5, PABPC1, LARP7, PHAX,
TEFM, ZC3H14, NSRP1, HNRNPA3","ACTB, EEF2, ELAVL1, GAPDH, HNRNPAB, HNRNPD, HNRNPH2,
HNRNPL, HSF1, HSPA1A, HSPA1B, IGHMBP2, YBX1, RPLP0, RPS3, RPS4X, RPS5,
RPS9, ZFP36, PABPC4, SRA1, RBM14, BOP1, NUP62, DAZAP1, AKAP8L, SRRT,
MEPCE, MRPL41, RNF135, ZC3H18, MRPL10"
"GO:0005762","mitochondrial large ribosomal subunit",1.6935055,10,0.1425,1.5e-45,3.8e-29,"MRPL19, MRPS30, MRPL46, MRPL42, MRPL13, MRPL30,
MRPL35, MRPL50, MRPL38, MRPL32, MTERF4","MRPL49, MRPL23, MRPL12, MRPL28, MRPL18, MRPL15,
MRPL22, MRPL2, MRPL4, MRPL37, MRPL51, MRPL27, MRPL48, MRPL16, MRPL20,
MRPS18A, MRPL17, MRPL14, MRPL41, MRPL40, MRPL36, MRPL34, MRPL11, MRPL9,
MRPL57, MRPL24, MRPL43, MPV17L2, MRPL54, MRPL52, MRPL10, MRPL55,
MRPL21"
"GO:0032040","small-subunit processome",1.461351,10,0.4275,3.2e-43,4.3e-17,"PRKDC, RPS3A, RPS7, RPS17, XRCC5, BMS1, MPHOSPH10,
WDR3, KRR1, WDR43, DIMT1, UTP20, DNTTIP2, FCF1, NOP58, HEATR1, UTP6,
PNO1, UTP3, WDR75, UTP15, C1orf131, WDR36","FBL, SNU13, RPS4X, RPS5, RPS9, RPS11, RPS14, RPS16,
RPS19, RPS27, RPS28, RRP9, WDR46, EMG1, TBL3, AATF, RRP7A, NAT10, IMP3,
DHX37, NOL6, RPS19BP1, IMP4"
"GO:0016605","PML body",1.6175824,10,0.3025,1.1e-36,9.6e-08,"ATR, ATRX, BLM, CSNK2A1, EIF3E, MRE11, NBN, RB1,
SATB1, SP100, TERT, SUMO1, ZMYM2, KAT6A, PIAS1, PIAS2, CASP8AP2, TOPORS,
TOPBP1, CHEK2, WDFY3, SMC5, SIRT1, CBX5, MORC3, ZNF451, KLHL20, TDP2,
SENP2, SMC6, MAGEA2B","CDK9, CHD3, CSNK2B, DAXX, ELF4, HSF1, ISG20, LRCH4,
CIITA, PML, MAPK7, RNF4, SKI, SUMO3, TOP3A, TP53, UBE2I, ZBTB16, SQSTM1,
ZBED1, IKBKE, BASP1, TRIM16, PARK7, CHFR, TRIM8, MLIP, SIMC1"
"GO:0010494","cytoplasmic stress granule",1.5234656,10,0.4525,2.5e-34,4.7e-15,"DDX1, DDX3X, DDX6, EIF2S1, EIF4E, FMR1, CAPRIN1,
MBNL1, PRKAA2, RBM4, ROCK1, TIA1, TIAL1, FXR1, PUM1, G3BP2, G3BP1,
IGF2BP1, IGF2BP3, IGF2BP2, CELF1, PUM2, GIGYF2, LSM14A, PABPC1, NUFIP2,
LIN28A, ZFAND1, LARP4, RC3H1, DHX36, C9orf72, YTHDF3","CIRBP, EIF4G1, ELAVL1, YBX1, TRIM21, VCP, ZFP36,
EIF3B, PABPC4, FXR2, RBPMS, ATXN2L, HABP4, LARP1, ZNFX1, RPTOR, RNF135,
RBPMS2"
"GO:0022625","cytosolic large ribosomal subunit",1.1845112,10,0.4875,4.4e-33,5.2e-27,"RPL5, RPL7A, RPL17, RPL21, RPL31, RPL36A","RPL3, RPL7A, RPL8, RPL10, RPL12, RPL13, RPL18,
RPL18A, RPL19, RPL23A, RPL27A, RPL28, RPL29, RPL32, RPL37, RPL37A,
RPL38, RPLP0, RPLP1, RPLP2, UBA52, RPL14, RPL35, RPL36"
"GO:0005681","spliceosomal complex",1.4520074,10,0.38,9.2e-30,3.5e-11,"CDC5L, HNRNPA2B1, HNRNPH3, TRA2B, SNRPA1, SNRPB2,
SNRPD3, U2AF1, DDX39B, API5, PRPF18, RBM5, BCAS2, SLU7, CRNKL1,
CWC22","DHX8, SNRNP70, SNRPA, SNRPB, SNRPC, SNRPD2, SNRPF,
SF1, SF3A2, DHX16, SF3B4, SF3A1, TXNL4A, SF3B2, U2AF2, TFIP11, GPKOW,
PRPF19, DDX41, CTNNBL1, WDR83"
"GO:0070847","core mediator complex",1.770483,9,0.055,1.2e-29,4e-12,"MED1, MED14, MED21, MED23, MED7, MED4, MED31, MED28,
MED30","MED22, MED26, MED27, MED24, MED16, MED15, MED18,
MED9, MED29, MED25, MED10, MED8, MED19, MED11"
"GO:0019005","SCF ubiquitin ligase complex",1.6886944,10,0.0675,4.3e-29,2.6e-05,"SKP2, CUL1, FBXW11, ARIH1, FBXL2, FBXL3, FBXL5,
FBXO9, FBXO4, FBXO3, USP47, FBXW7, FBXL17, FBXO38","CCNF, TRIM21, RBX1, FBXO7, FBXO2, FBXO6, FBXW5,
FBXL19, FBXL15, FBXO31, FBXO44, FBXO32, FBXO27"
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex",1.6533433,10,0.0225,6.6e-29,5.4e-06,"ERCC8, CUL4B, CUL4A, DCAF13, DCAF16, DET1, DCAF6,
DCAF10, DCAF17","DDB1, DDB2, DCAF7, DCAF4, TRPC4AP, FBXW5, AMBRA1,
DDA1, DCAF11, DCAF15"
"GO:0022627","cytosolic small ribosomal subunit",1.334277,10,0.4275,1.2e-26,6.6e-17,"DDX3X, RPS3A, RPS7, RPS10, RPS17, DHX29, LARP4","FAU, RPSA, RPS2, RPS3, RPS4X, RPS5, RPS9, RPS11,
RPS14, RPS15, RPS16, RPS19, RPS20, RPS26, RPS27, RPS28, RPS29"
"GO:0071005","U2-type precatalytic spliceosome",1.4009909,10,0.2525,2.5e-26,1.7e-08,"MFAP1, SNRPA1, SNRPB2, SNRPD3, CWC27, LSM6, WBP4,
SF3B1, LSM5, LSM8, CWC22, PRPF38A","IK, SNU13, SNRPB, SNRPD2, SNRPF, RNF113A, SF3A2,
DHX16, SART1, EFTUD2, SF3B4, SF3A1, PRPF8, TXNL4A, SF3B2, PRPF6, LSM4,
PRPF31, LSM3, LSM7, LSM2, SF3B5, ZMAT2"
"GO:0000781","chromosome, telomeric region",1.5291714,10,0.4625,5.1e-26,1.9e-13,"ATM, ATRX, BLM, BRCA2, CHEK1, DNA2, ERCC4, EZH2,
HDAC2, HNRNPA2B1, MRE11, NBN, ORC2, ORC4, POLR2B, PPP1CB, PPP1CC, RAD17,
RBBP4, TERF1, TERT, TP53BP1, WRN, XRCC5, TNKS, RNF8, THOC1, RAD50,
CHEK2, SMC5, SMCHD1, POT1, RTEL1, TERF2IP, LRIF1, THOC2, DCLRE1B, NABP1,
ZBTB10, SMC6, PIF1, TNKS2, DHX36, TEN1","CHD4, ERCC1, FEN1, ZBTB48, MEN1, PML, POLD1, PPP1CA,
PPP1R10, UPF1, MTA2, RECQL4, TOX4, ALYREF, TFIP11, TINF2, GAR1, GATAD2B,
ACD, NABP2, THOC6, THOC3, SLX4, LRWD1"
"GO:0005765","lysosomal membrane",1.5811183,9,0.065,1.1e-25,1.8e-14,"AP1G1, TRIM23, SCARB2, CLCN3, CLCN4, CLN5, ATXN3,
MYO6, VAMP7, TSC1, LAMTOR3, AP1S2, SPAG9, ABCB6, RNF13, ATP10B, VPS13A,
ABCA5, SLC39A14, CHMP2B, VPS41, OSTM1, CHMP4A, CHMP5, CHMP3, TM6SF1,
MIOS, TMEM106B, STX17, ARL8B, LMBRD1, TMEM165, GOPC, SLC39A8, DEPTOR,
SEH1L, SLC37A3, FNIP1, GPR155, SLC38A9, TMEM192, MFSD8, GPR137C","ABCA2, AP1B1, ABCD1, ANXA2, ANXA6, ARRB1, ATP6V0B,
ATP6V0A1, CD63, CD74, AP2M1, AP1S1, CLCN7, CSF3R, CTNS, CTSD, DAB2,
BLOC1S1, GRN, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DPA1, HLA-DPB1, HLA-DQA1,
HLA-DQA2, HLA-DQB1, HLA-DQB2, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-F, LAMP1,
NPC1, GPR143, OCA2, P2RX4, CHMP1A, PSAP, SEC13, TFE3, GPR137B, TRPM2,
TSC2, UBA1, SLC30A2, LAPTM5, RAB7A, TFEB, NPRL3, IFITM1, VAMP8, AP1M1,
ATP6V0E1, ATP6V0D1, LITAF, DEPDC5, AP1M2, TCIRG1, IFITM3, VTI1B,
LAMTOR5, IFITM2, NPRL2, RRAGA, KPTN, SLC2A6, PLEKHM2, SZT2, VPS39,
ATP13A2, TECPR1, RNF167, CHMP2A, LAMTOR2, SIDT2, TBC1D7, SLC15A3,
ATRAID, TPCN1, SLC35F6, LAMTOR1, SLC38A7, SLC29A3, SLC48A1, ITFG2,
LRRC8A, GPR137, SPPL2B, CHMP1B, MCOLN1, ABHD6, RPTOR, TMBIM1, CHMP6,
HPS6, UBXN6, RILP, SESN2, WDR24, TMEM79, TMEM175, CHMP7, WDR81, CHMP4B,
HGSNAT, ATP6V0E2, TPCN2, CYB561A3, ATP6V0D2, TMEM9, PCSK9, SLC46A3,
SLC26A11, LAMTOR4"
"GO:0042645","mitochondrial nucleoid",1.5908688,10,0.335,4.2e-25,1.2e-12,"DBT, DNA2, TERT, TFAM, MTERF1, LRPPRC, CLPX, POLG2,
FASTKD2, TFB1M, TRMT10C, TFB2M, TEFM, MTERF2","ACADVL, HSD17B10, HADHA, HADHB, POLRMT, SHMT2, SSBP1,
TUFM, VDAC1, VDAC2, LONP1, DHX30, POLDIP2, LRRC59, DDX28, ELAC2,
UQCC2"
