"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0003735","structural constituent of ribosome",1.3538988,10,0.575,4.4e-66,5.5e-40,"RPL5, RPL7A, RPL17, RPL21, RPL31, RPL36A, RPS3A,
RPS7, RPS10, RPS17, MRPS22, MRPS14","FAU, RPSA, RPL3, RPL7A, RPL8, RPL10, RPL12, RPL13,
RPL18, RPL18A, RPL19, RPL23A, RPL27A, RPL28, RPL29, RPL32, RPL37,
RPL37A, RPL38, RPLP0, RPLP1, RPLP2, MRPS12, RPS2, RPS3, RPS4X, RPS5,
RPS9, RPS11, RPS14, RPS15, RPS16, RPS19, RPS20, RPS26, RPS27, RPS28,
RPS29, UBA52, RPL14, RPL35, RPL36, MRPS18B, MRPS16, MRPS7, MRPS2,
MRPL51, MRPS21, MRPS18A, MRPS24, MRPS15, MRPS11, MRPL41, MRPS34, MRPL57,
MRPL52, MRPL10, MRPL55"
"GO:0003723","RNA binding",1.5689489,10,0.7375,1.8e-55,1.8e-35,"NR0B1, BARD1, BRCA1, CASP7, DDX3X, DHX9, DHX15, DKC1,
FMR1, HNRNPA2B1, HNRNPH1, HNRNPU, AGFG1, IFIT1, IREB2, CAPRIN1, MBNL1,
NCL, NPM1, RBM4, RNASEL, SRSF1, SRSF3, SRSF6, TRA2B, SNRPD3, SON, SRP9,
SRP19, SSB, TERT, TIA1, HSP90B1, XRCC5, YY1, MKRN3, FXR1, ZNF239,
DUSP11, EIF3A, RNMT, DZIP3, PUM1, ZBED4, RBM7, C1D, RAD51AP1, KHDRBS3,
KHDRBS1, CELF1, SRSF10, NUDT21, CPSF6, RCAN3, CELF3, SCAF8, CPEB3,
NCBP2, KIN, PUM2, TARDBP, SF3B1, ADAT1, RBFOX2, IFIT5, UNC50, SERBP1,
NUFIP1, PABPC1, RBMX, MEX3C, CRNKL1, CPSF3, PSPC1, ZCCHC8, NUFIP2,
CWC22, IFIH1, RBM15, LIN28A, RPF1, MEX3B, NIFK, YTHDC1, MEX3A, NAF1,
RBM45, RBM33, DHX36, RNASEH1, YTHDF3, LIN28B","ACO1, DRG2, EIF4G1, EIF5A, ELAVL1, FUS, HMGA1,
HNRNPD, IGHMBP2, MOV10, YBX1, PCBP1, PCBP2, RANGAP1, UPF1, RPL19,
MRPL23, RPL37, RPL38, MRPL12, RPS3, RPS14, RPS16, SNRNP70, SNRPA, SNRPB,
SNRPF, SURF6, SF1, NELFE, TAF15, RAE1, EIF3B, EIF3D, EIF3G, NOL3,
SETD1A, SF3A1, EMG1, RNPS1, RBPMS, DDX19B, DHX30, TRIM32, EXOSC7, JMJD6,
ZC3H4, PRPF6, CCDC9, SND1, GPKOW, RBM15B, GAR1, MOV10L1, WRAP53, NOP10,
NHP2, MEPCE, SCAF4, TUT1, ZC3H12A, ZBP1, SF3B5, PATL1"
"GO:0004674","protein serine/threonine kinase activity",1.4970588,10,0.305,5.8e-48,1.3e-12,"ACVR1, ACVR2A, ACVR2B, ATM, ATR, BMPR1A, BMPR1B,
BRAF, BUB1, CAMK2D, CDK1, CHEK1, CLK1, CSNK1A1, CSNK1G3, CSNK2A1,
DYRK1A, GRK5, GSK3B, ILK, MARK1, MARK3, MAP3K1, MAP3K5, NEK2, PAK2,
PAK3, PDK3, PRKAA1, PRKAA2, PRKACB, PRKCE, PRKCI, PKN2, PRKD1, PRKDC,
MAPK6, MAPK8, MAPK9, EIF2AK2, RAF1, ROCK1, RPS6KA3, RPS6KB1, SRPK1,
SRPK2, NEK4, STK3, STK4, CDKL5, TAF1, MAP3K7, TGFBR1, TOP1, TTN, VRK1,
VRK2, DYRK2, CDC42BPA, MAP4K3, MAPKAPK5, CASK, RIOK3, CPNE3, LATS1,
RPS6KA5, STK17B, STK17A, MAP4K4, EIF2AK3, ROCK2, SLK, MELK, TLK1, OXSR1,
AKT3, HIPK3, PLK4, PLK2, TLK2, MAP4K5, CHEK2, AAK1, STK38L, TNIK, SMG1,
STK39, TBK1, IRAK4, TAOK3, CSNK1G1, SNRK, PBK, CLK4, TAOK1, STK33,
TSSK3, MASTL, LRRK2, UHMK1, ACVR1C, NEK7, TTBK2, PIKFYVE, CSNK2A3,
TSSK4, EIF2AK4","ACVR1B, ACVRL1, AKT1, AKT2, ARAF, CDK11B, CDK2, CDK5,
CDK9, CLK3, PLK3, CSNK1D, CSNK1E, CSNK1G2, CSNK2B, DAPK3, MARK2, MKNK2,
GSK3A, IRAK1, LIMK1, LIMK2, MAP3K9, MAP3K10, MAP3K11, PAK1, CDK16,
PHKG2, PIM1, PLK1, PRKACA, PRKCD, PKN1, PRKCZ, MAPK3, MAPK4, MAPK11,
MAPK13, MAP2K2, MAP4K2, RPS6KA1, RPS6KB2, STK11, MAP3K12, MAPKAPK3,
ULK1, MKNK1, RIPK2, RPS6KA4, MAP3K14, PKMYT1, AURKB, MAPKAPK2, TAOK2,
CDC42BPB, IKBKE, BCKDK, PAK4, HTATIP2, ERN2, FASTK, RIPK3, PIM2, MAP4K1,
MAST1, DAPK2, PRKD2, ULK3, MINK1, CDC42BPG, MARK4, PINK1, CDK15, WNK2,
NUAK2, TSSK6, TTBK1, SIK1, PIM3, CDK11A"
"GO:0004672","protein kinase activity",1.4520074,10,0.18,9.7e-30,6.9e-09,"ACVR1, ATR, BRAF, BUB1, CDK1, CDK8, CHEK1, CHUK,
CSNK1A1, CSNK1G3, DYRK1A, GSK3B, MAP3K1, MAP3K5, NEK1, NEK2, PAK2,
CDK17, PDK1, PDK3, PRKAA1, PRKAA2, PRKCA, PRKCE, PRKCI, PKN2, PRKDC,
PRKG1, EIF2AK2, RAF1, ROCK1, RPS6KA3, RPS6KB1, MAP2K4, SRPK1, STK3,
STK4, CDKL5, TAF1, TGFBR1, VRK1, CDC7, MAP4K3, CDK13, STK17B, EIF2AK3,
AKT3, HIPK3, MAP3K2, MAP4K5, TNIK, SMG1, SGK3, NME7, CDKL3, CDK12,
STK26, MYO3A, TAOK1, STRADA, LRRK2, TTBK2, NEK10, MAPK15","ABL1, AKT1, ARAF, CDK11B, CDK5, CDK9, CSNK1D, CSNK1E,
EPHA1, EPHA4, IRAK1, MAP3K3, MAP3K10, MAP3K11, PAK1, PDGFRB, PDK2, PLK1,
PRKAB1, PRKACA, PRKAG1, PRKCD, PRKCG, PKN1, PRKCZ, MAP2K5, RPS6KB2,
CCL2, CCL3, CCL5, CCL8, SRC, AURKC, TESK1, MAP3K12, MAP3K14, DYRK1B,
MAPKAPK2, CDC42BPB, RASSF2, STK25, RIPK3, PRKD2, HSPB8, PKN3, MINK1,
PINK1"
"GO:0031625","ubiquitin protein ligase binding",1.3503527,10,0.67,1e-29,4.9e-17,"APC, BRCA1, CASP8, CDKN1B, DBT, FOXO1, GPR37, GSK3B,
HIF1A, UBE2K, HSP90AA1, HSPD1, SMAD5, MDM2, ATXN3, TRIM37, NFE2L2, NGFR,
POU5F1, PRKACB, PRKAR1A, PRKAR2A, PRKAR2B, PSMD1, RALA, RALB, RB1, RPL5,
HLTF, TGFBR1, TRAF1, TRAF5, SUMO1, VCL, XRCC5, CUL5, FZD6, SPOP, CUL4A,
CUL3, CUL2, CUL1, BLZF1, BECN1, NAE1, BCL10, USP13, RNF8, BAG5, BAG4,
TANK, DNM1L, LRPPRC, ABI2, CCT2, GLMN, ERLIN2, CHEK2, SYT11, ARIH1,
UBXN7, USP25, MAGEC2, JKAMP, DET1, FANCL, UBE2W, FBXW7, YOD1, RNF20,
RAD18, ANKRA2, SMC6, SLF1, RFFL, CCDC50, ZNF675, SHPRH, MAGEA2B","ACTG1, ACVR1B, APBB1, ARRB1, ARRB2, AUP1, BAG1, CALR,
CD40, CDKN1A, CKB, CLU, DAXX, DTX1, FHIT, GPI, HSPA1A, HSPA1B, HSPA1L,
JUN, LTBR, SMAD6, MC1R, NDUFS2, NEDD8, NFKBIA, SLC22A18, PA2G4, PCBP2,
PER1, PML, POLR2A, PRKACA, RELA, SKI, TMBIM6, TNFRSF1B, TP53, TPI1,
TRAF2, UBE2L3, UCHL1, UQCRC1, VCP, WFS1, LAPTM5, BAG6, AXIN1, AXIN2,
FZD4, IKBKG, TNFRSF14, SQSTM1, MFHAS1, PRDX6, IKBKE, KDM4A, RNF40, MFN2,
RBX1, HDAC6, SCAMP3, TRIM28, TNK2, STUB1, TUBA1B, RRAGA, TRIOBP, UBOX5,
SMG5, PATZ1, HSPBP1, GABARAPL1, FBXO7, UBXN1, PIAS4, WRAP53, OTUB1,
AMBRA1, TRIB3, PINK1, DERL1, MUL1, HM13, MAP1LC3A, FATE1, ARRDC1,
UBE2J2, TUBB"
"GO:0003714","transcription corepressor activity",1.4039781,10,0.4575,2.2e-28,6.2e-10,"NR0B1, CTBP2, DNMT3A, EZH2, HMGB1, HNRNPU, NPAT,
PFDN5, MED1, RB1, RBBP8, HMGA2, NRIP1, PIAS1, URI1, SAP30, CIR1, NCOR1,
HDAC9, CASP8AP2, YAF2, AASS, YAP1, N4BP2L2, ZMYND11, TCERG1, SIRT1,
ZFPM2, RBFOX2, ZMYND8, EID1, NIPBL, ZNF451, ANKRD1, BRD7, CNOT7, TDP2,
YEATS2, CCAR1, NSD1, TBL1XR1, LCOR, ZNF354B, BEND6, SCAI","CCND1, BCL3, CBFA2T3, CHD4, CRYM, CTBP1, DAXX, ATN1,
ENO1, FHL2, HDAC1, HDGF, HSPA1A, DNAJB1, MECP2, MAP3K10, NAB2, PA2G4,
PEX14, DPF2, SIAH2, SMARCA4, TLE1, HIRA, SF1, UXT, CBX4, HDAC3, MTA1,
NCOR2, TRIM28, BASP1, MYBBP1A, PPP1R13L, RUVBL2, ARID5A, TCF25, IRF2BP1,
NOC2L, SUFU, WNT4, PBXIP1, PHF12, TRIB3, DDX54, FLYWCH1, ZNF653, ZFPM1,
SDR16C5"
"GO:0003729","mRNA binding",1.5477614,10,0.505,3.1e-26,4.6e-14,"DDX3X, DHX9, DHFR, EIF4A1, FMR1, CAPRIN1, NOVA1,
PURB, RBM4, SRSF1, TRA2B, TPR, QKI, RBM5, IGF2BP1, CELF1, NUDT21, CPSF6,
NCBP2, PEG10, ARC, TDRD7, PABPC1, RBMX, LUC7L3, METTL3, DHX33, METTL14,
RBM25, RBM15, UPF3B, UPF3A, NKAP, LIN28A, NSRP1, FYTTD1, HNRNPLL","CALR, DXO, EIF4G1, ELAVL1, HNRNPAB, PCBP1, PKM, RPS2,
RPS3, RPS5, RPS26, SLPI, ZFP36, NELFE, EIF4A3, PARK7, CLUH, ESRP2,
ZC3H12A, NUDT16, RBPMS2"
"GO:0003682","chromatin binding",1.334277,10,0.58,8e-25,3.9e-13,"ATRX, CCNT2, DDX1, ELK4, ERCC6, EZH2, FOXO1, FMR1,
HDAC2, HNRNPU, MEF2A, MLLT3, MSH2, POLA1, MED1, PRKAA1, PRKAA2, REST,
RNF2, SFPQ, SMARCE1, TFAM, TOP1, TOP2A, TOP2B, TPR, MLLT10, SMC1A, URI1,
TRIM24, KAT2B, MCM3AP, RNF8, POLR3G, POLQ, NFAT5, L3MBTL1, ANKRD17, VCX,
DNAJC2, RBMX, GMNN, WAC, MPHOSPH8, HPF1, CHD7, MBD5, FANCM, NSD1, IKZF5,
NUCKS1, NKAP, MCMBP, L3MBTL3, MCM8, PWWP2A, ZNF354B, RNF168, ZNF431,
PRIMPOL, MAPK15, MCM9, ZFP57, SETSIP","APBB1, BCL6, CDK9, CSNK2B, FUS, GATA2, GPER1, HCFC1,
HMGA1, SMAD6, MPO, CITED1, POLD1, POLE, PPARG, PKN1, RARA, RELA, UPF1,
SAFB, SHMT2, SPI1, SSBP1, SUV39H1, TFAP2A, TP53, UBTF, NELFE, CHAF1B,
BAP1, UXT, HDAC3, CHAF1A, TRIM28, KAT5, ATF5, BAHD1, DHX30, SIRT2,
NCOA6, CAMTA2, BRD4, NOC2L, PELP1, SIRT7, SIRT6, BCAS3, APTX, KDM8,
ZC3H12A, CDT1, GRWD1, SAMD1, CREB3L1, MBD6, KLHDC3, PHF13, LRWD1"
"GO:0061630","ubiquitin protein ligase activity",1.4980655,10,0.1475,1e-24,0.00033,"XIAP, TRIM23, CBL, MDM2, TRIM37, NEDD4, PEX12, PEX2,
RBBP6, RNF2, RNF6, HLTF, TRAF6, UBE2D1, UBE2D3, UBE3A, MKRN3, RNF103,
CUL4A, CUL3, TRIM24, RNF8, TRIP12, UBE3C, RNF144A, PJA2, TRIM13, TOPORS,
TRIM38, NT5C2, HECW1, MYCBP2, HECTD1, RCHY1, LTN1, RNF11, UHRF1, RNFT1,
MEX3C, UBR5, RNF138, ASB1, RC3H2, RNF111, RNF125, FANCL, RFWD3, MSL2,
PELI1, SH3RF1, COP1, SMURF2, RNF128, RNF170, RNF146, ITCH, TRIM52,
UBE3D, TRIM9, RNF157, UHRF2, RFFL, RC3H1, ZNRF2, SHPRH","PEX10, TRIM27, RNF4, RNF5, SIAH2, TRIM21, PPP1R11,
UBE2D2, TRIM26, RNF113A, AREL1, RNF10, RBX1, STUB1, TRIM3, TRAF3IP2,
WWP2, UBE2C, TRIM32, CUL9, CBLC, PPIL2, RNF167, IRF2BP1, PRPF19, RNF181,
BFAR, ANAPC11, ASB2, NEURL1B, RNF126, VPS11, SMURF1, VPS18, RNF123,
UBE2O, IRF2BPL, RNF25, RNF26, MUL1, RNF122, TRIM8, TRIM7, WDR24, TRAF7,
RNF135, SYVN1, TRIM55, TRIM63, ZNRF1, LRSAM1, ZNF598, TRIM41, RNF185,
TMEM129, RNF19B, TRIM69, ASB12, SH3RF2, NSMCE1"
"GO:0003713","transcription coactivator activity",1.3955817,10,0.41,1.7e-23,4.5e-11,"BIRC2, BRCA1, DHX9, HMGB1, HMGB2, MAK, TRIM37, NPAT,
NPM1, MED1, KDM5A, TAF9, XPC, ZXDA, KAT6A, NCOA3, NRIP1, NCOA1, TRIM24,
KAT2B, PER2, BCL10, MED14, TRIP11, MED21, MED23, MED7, SUPT7L, MED13,
YAF2, CEBPZ, TRIM13, YAP1, TRIM38, NCOA2, DDX17, USP16, TCERG1, COPS5,
MID2, ZFPM2, KAT6B, WWTR1, ANKRD1, TAF5L, MED4, BRD7, CCAR1, CENPJ,
KMT2E, RNF20, RAP2C, PRDM16, NUCKS1, JADE1, MAML2, TRIM52, TRIM5, MED30,
MTDH, MYSM1, TADA1, JMY","ABL1, APBB1, ARRB1, DAXX, DTX1, FUS, HCFC1, HMGA1,
JUP, CIITA, CITED1, NFKBIB, PCBD1, POU2AF1, PSMD9, TRIM27, SMARCA4,
SMARCB1, TRIM21, TAF12, TGFB1I1, UBE2L3, RUVBL1, EDF1, AIP, MTA1,
DYRK1B, ZBED1, MED26, MED27, MED24, THRAP3, MED12, SRA1, MED16, PQBP1,
TRIM28, TADA3, CARM1, KAT5, HTATIP2, TAF6L, SRCAP, RBPMS, RIPK3, PMF1,
PARK7, TRIM32, NCOA6, CAMTA2, WWC1, BRD4, WBP2, NUPR1, USP21, ABT1,
WWOX, TRIM62, ATXN7L3, CALCOCO1, TRIM8, KAT8, FIZ1, TOX2, MYOCD,
ASXL1"
