"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000112739.17",3131.03460831586,1.70123414398069,0.141616289623546,12.012983453408,3.03687692425114e-33,3.66399200910899e-29,"PRPF4B"
"ENSG00000144747.17",1155.86344507289,2.13994193541216,0.178040281103583,12.0194257285358,2.80916985090568e-33,3.66399200910899e-29,"TMF1"
"ENSG00000116747.13",1480.53017185105,2.12021422290513,0.177272183344383,11.9602194935809,5.74099701601323e-33,4.61767526654664e-29,"RO60"
"ENSG00000198862.14",1120.41138811092,2.09853429162113,0.177050392630569,11.8527514141124,2.08239344094071e-32,1.25620384324748e-28,"LTN1"
"ENSG00000196678.14",339.222102224513,1.73607418123261,0.147258136224397,11.7893260484237,4.43072365282602e-32,2.13826723485384e-28,"ERI2"
"ENSG00000115419.13",4330.88442133511,1.87625977871913,0.16327600226611,11.491338302497,1.45834952005974e-30,5.86499565317358e-27,"GLS"
"ENSG00000156256.15",1496.21165758193,1.59048570011345,0.139841016981884,11.3735278421173,5.66506618183782e-30,1.95282924239638e-26,"USP16"
"ENSG00000128923.11",1251.27518985046,2.06106246359315,0.181903810192737,11.3305073786489,9.26663820598177e-30,2.48448866567045e-26,"MINDY2"
"ENSG00000177888.8",859.071309092225,2.25111794655419,0.198601117077496,11.3348705167443,8.81623884150575e-30,2.48448866567045e-26,"ZBTB41"
"ENSG00000133103.17",1085.28434435281,1.9873851034309,0.17980175073668,11.0532021812259,2.11532368753157e-28,5.10427605801368e-25,"COG6"
"ENSG00000005175.10",953.144261512453,1.70981191562481,0.155720025825199,10.9800387365985,4.76719350608643e-28,1.04574890274423e-24,"RPAP3"
"ENSG00000154059.11",1598.43221343033,1.4808909432577,0.135741704394525,10.9096239056611,1.03684408787345e-27,2.08492065336554e-24,"IMPACT"
"ENSG00000117475.14",936.183783894645,1.49511508335525,0.137271524792886,10.8916622410297,1.26313457726598e-27,2.34457210380216e-24,"BLZF1"
"ENSG00000163681.16",1349.69049148027,1.36652719914045,0.125585876234754,10.8812172205259,1.41658547699538e-27,2.44158625427847e-24,"SLMAP"
"ENSG00000134371.14",1517.72726028156,1.55778821513757,0.143370312037413,10.8654866757287,1.6832329862336e-27,2.70776079718779e-24,"CDC73"
"ENSG00000111845.5",1168.67633826542,1.68828936472091,0.156949289484313,10.7569098927947,5.49830361637952e-27,8.29212914145236e-24,"PAK1IP1"
"ENSG00000164031.17",1360.0879079228,2.10099778813738,0.195891225311819,10.7253287368692,7.74113173957875e-27,1.09878534632962e-23,"DNAJB14"
"ENSG00000133063.16",1788.3315390766,-5.86963416432677,0.54800606005267,-10.7108928024676,9.04849300211497e-27,1.21300075633908e-23,"CHIT1"
"ENSG00000197766.8",655.391208599095,-3.67381678951212,0.344106945912719,-10.6763807971605,1.31290888737362e-26,1.66739428696449e-23,"CFD"
"ENSG00000171109.19",1683.91077573001,1.4963156207041,0.141164675232019,10.5997879302647,2.98656686803636e-26,3.45494460462364e-23,"MFN1"
"ENSG00000177683.14",820.114569274057,1.87652590511939,0.177044829623287,10.5991567735258,3.00678975122654e-26,3.45494460462364e-23,"THAP5"
"ENSG00000135968.21",975.234159533683,1.95516777940035,0.184748658455086,10.582852377657,3.57893786467268e-26,3.92544412157053e-23,"GCC2"
"ENSG00000164631.19",1197.94235771673,1.55742018395208,0.148163927448799,10.5114666624255,7.64945428579378e-26,8.02527530070452e-23,"ZNF12"
"ENSG00000031691.7",260.160875818149,1.93190212063498,0.183939200110289,10.5029385768592,8.37321730798204e-26,8.41857223506694e-23,"CENPQ"
"ENSG00000163946.13",2292.53892029847,1.5865712912598,0.151828695756932,10.4497459017879,1.46918322992705e-25,1.41805565352559e-22,"TASOR"
"ENSG00000196504.19",3471.75827057736,1.46893417082823,0.140655922709937,10.4434576413642,1.56986394829865e-25,1.4569545027864e-22,"PRPF40A"
"ENSG00000178951.9",2766.47677444339,-1.14954475388751,0.111118933396588,-10.3451744788148,4.40113870861475e-25,3.93331396440274e-22,"ZBTB7A"
"ENSG00000080345.18",2018.43932914705,1.76246556037735,0.170663789265981,10.3271207557131,5.31314875802693e-25,4.57879569754249e-22,"RIF1"
