"","sample","ENSG00000115419_logTPM","group"
"1","TCGA-ER-A2NB-01A-12R-A18S-07",1.35010115878379,"Low"
"2","TCGA-GN-A263-01A-11R-A18T-07",4.02565784251561,"Middle"
"3","TCGA-EB-A24C-01A-11R-A18T-07",4.85040939878107,"Middle"
"4","TCGA-BF-AAP8-01A-11R-A40A-07",4.36050474633969,"Middle"
"5","TCGA-ER-A194-01A-11R-A18U-07",1.80293764164404,"Low"
"6","TCGA-GN-A4U5-01A-11R-A32P-07",4.28950989604362,"Middle"
"7","TCGA-EB-A5FP-01A-11R-A27Q-07",5.69559579256471,"High"
"8","TCGA-EB-A6R0-01A-12R-A32P-07",5.09645162447759,"Middle"
"9","TCGA-ER-A42H-01A-11R-A24X-07",5.89964452685693,"High"
"10","TCGA-BF-A5EQ-01A-21R-A27Q-07",4.60388741578687,"Middle"
"11","TCGA-HR-A5NC-01A-11R-A27Q-07",6.05931633678568,"High"
"12","TCGA-XV-A9VZ-01A-11R-A38C-07",3.90726564756451,"Low"
"13","TCGA-EB-A3XC-01A-11R-A239-07",6.45257072629617,"High"
"14","TCGA-BF-AAP1-01A-11R-A39D-07",5.71702106451809,"High"
"15","TCGA-XV-A9W5-01A-11R-A38C-07",5.00354826952217,"Middle"
"16","TCGA-EB-A3XD-01A-22R-A239-07",3.28335880404636,"Low"
"17","TCGA-XV-AAZW-01A-12R-A40A-07",4.54942890688418,"Middle"
"18","TCGA-EB-A4OY-01A-11R-A266-07",2.26702634539381,"Low"
"19","TCGA-GN-A8LN-01A-11R-A37K-07",5.42127716781255,"High"
"20","TCGA-BF-A5EO-01A-12R-A27Q-07",2.88383583610776,"Low"
"21","TCGA-FW-A5DX-01A-11R-A27Q-07",6.49005822945523,"High"
"22","TCGA-EB-A553-01A-12R-A27Q-07",2.73196521366928,"Low"
"23","TCGA-EB-A431-01A-11R-A266-07",5.03356396027334,"Middle"
"24","TCGA-EB-A4XL-01A-11R-A27Q-07",5.33719014379128,"Middle"
"25","TCGA-D9-A4Z5-01A-11R-A266-07",3.8626695892684,"Low"
"26","TCGA-EB-A5SF-01A-11R-A311-07",1.45958899496684,"Low"
"27","TCGA-EB-A4IS-01A-21R-A266-07",4.70985304479512,"Middle"
"28","TCGA-EB-A4OZ-01A-12R-A266-07",1.83786252942124,"Low"
"29","TCGA-GF-A2C7-01A-11R-A18T-07",4.93488444097183,"Middle"
"30","TCGA-BF-AAOX-01A-11R-A39D-07",3.98741182744001,"Middle"
"31","TCGA-FR-A726-01A-11R-A32P-07",4.98427033640553,"Middle"
"32","TCGA-EB-A82C-01A-11R-A352-07",5.23487681385703,"Middle"
"33","TCGA-EB-A551-01A-21R-A27Q-07",5.15188722234657,"Middle"
"34","TCGA-FR-A3R1-01A-11R-A239-07",6.27102221489695,"High"
"35","TCGA-BF-AAP4-01A-11R-A40A-07",4.76252953988563,"Middle"
"36","TCGA-BF-AAP2-01A-11R-A40A-07",4.70418032292583,"Middle"
"37","TCGA-EB-A82B-01A-11R-A352-07",4.1126000579462,"Middle"
"38","TCGA-EB-A6QZ-01A-12R-A32P-07",4.43327329288202,"Middle"
"39","TCGA-DA-A960-01A-11R-A37K-07",3.01267593308757,"Low"
"40","TCGA-XV-AAZV-01A-11R-A40A-07",5.20189258218911,"Middle"
"41","TCGA-D9-A4Z3-01A-11R-A266-07",5.99238323777299,"High"
"42","TCGA-BF-AAP7-01A-11R-A40A-07",3.27193357789043,"Low"
"43","TCGA-BF-A1PZ-01A-11R-A18S-07",4.67701767638202,"Middle"
"44","TCGA-EB-A97M-01A-11R-A38C-07",3.79547605252162,"Low"
"45","TCGA-EB-A51B-01A-11R-A27Q-07",5.59351512387127,"High"
"46","TCGA-BF-A3DJ-01A-11R-A20F-07",5.62713695194544,"High"
"47","TCGA-EB-A44P-01A-11R-A266-07",5.78469765540291,"High"
"48","TCGA-EB-A6QY-01A-12R-A32P-07",5.86949143987302,"High"
"49","TCGA-BF-A5EP-01A-12R-A27Q-07",4.85278790735342,"Middle"
"50","TCGA-XV-A9W2-01A-11R-A39D-07",3.99835800032652,"Middle"
"51","TCGA-EB-A299-01A-21R-A18U-07",4.34102505351785,"Middle"
"52","TCGA-EB-A3Y6-01A-21R-A239-07",5.46187229797537,"High"
"53","TCGA-EB-A44N-01A-11R-A266-07",5.09299387145177,"Middle"
"54","TCGA-GF-A769-01A-32R-A32P-07",5.88588424697182,"High"
"55","TCGA-XV-AAZY-01A-12R-A40A-07",1.84124857130625,"Low"
"56","TCGA-ER-A2NF-01A-11R-A18T-07",4.09550251765867,"Middle"
"57","TCGA-EB-A3XF-01A-31R-A239-07",5.67432787863746,"High"
"58","TCGA-EB-A57M-01A-51R-A311-07",3.63788841867442,"Low"
"59","TCGA-BF-AAP6-01A-11R-A40A-07",5.83387931306852,"High"
"60","TCGA-YG-AA3N-01A-11R-A38C-07",3.42692220540614,"Low"
"61","TCGA-EB-A85I-01A-11R-A352-07",4.56612103248026,"Middle"
"62","TCGA-BF-A1Q0-01A-21R-A18S-07",4.56994064890061,"Middle"
"63","TCGA-EB-A5UM-01A-11R-A311-07",5.58716693684197,"High"
"64","TCGA-FS-A1ZN-01A-11R-A18T-07",5.392829145255,"Middle"
"65","TCGA-EB-A3XB-01A-11R-A239-07",5.18244600145911,"Middle"
"66","TCGA-IH-A3EA-01A-11R-A20F-07",3.53657516079976,"Low"
"67","TCGA-ER-A196-01A-11R-A18T-07",5.32323674692588,"Middle"
"68","TCGA-BF-A5ER-01A-12R-A27Q-07",3.18543842942173,"Low"
"69","TCGA-EB-A3HV-01A-11R-A21D-07",3.67868041373475,"Low"
"70","TCGA-EB-A5VU-01A-21R-A32P-07",6.05454462835561,"High"
"71","TCGA-D9-A3Z4-01A-11R-A239-07",5.53522560083889,"High"
"72","TCGA-D3-A5GT-01A-12R-A311-07",4.10720242621106,"Middle"
"73","TCGA-ER-A19T-01A-11R-A18T-07",4.38013374290341,"Middle"
"74","TCGA-BF-A1PX-01A-12R-A18T-07",3.94583240453544,"Low"
"75","TCGA-BF-A9VF-01A-11R-A37K-07",4.37714457710774,"Middle"
"76","TCGA-BF-A3DM-01A-11R-A20F-07",5.14984871416976,"Middle"
"77","TCGA-EB-A1NK-01A-11R-A18T-07",3.45831637788899,"Low"
"78","TCGA-BF-A1PU-01A-11R-A18S-07",4.02901108665907,"Middle"
"79","TCGA-EB-A4IQ-01A-12R-A266-07",5.12875530625703,"Middle"
"80","TCGA-EB-A24D-01A-11R-A18T-07",4.99574680322345,"Middle"
"81","TCGA-FR-A728-01A-11R-A32P-07",3.68443725919546,"Low"
"82","TCGA-WE-A8K4-01A-12R-A37K-07",5.35466019946892,"Middle"
"83","TCGA-EB-A85J-01A-12R-A352-07",4.41267992351859,"Middle"
"84","TCGA-EB-A42Y-01A-12R-A24X-07",4.4235647254854,"Middle"
"85","TCGA-BF-A5ES-01A-11R-A27Q-07",3.3980219501812,"Low"
"86","TCGA-FR-A2OS-01A-11R-A21D-07",6.54507412751886,"High"
"87","TCGA-EB-A5SE-01A-11R-A311-07",5.79941633153713,"High"
"88","TCGA-D9-A4Z2-01A-11R-A24X-07",6.18367507674939,"High"
"89","TCGA-ER-A19K-01A-21R-A18T-07",4.86043646072151,"Middle"
"90","TCGA-GN-A26C-01A-11R-A18T-07",5.16156525639703,"Middle"
"91","TCGA-EB-A550-01A-61R-A27Q-07",5.08432368838904,"Middle"
"92","TCGA-BF-A3DN-01A-11R-A20F-07",5.69538978076817,"High"
"93","TCGA-EB-A4P0-01A-41R-A266-07",4.57002568445779,"Middle"
"94","TCGA-BF-AAOU-01A-12R-A39D-07",4.00054090922619,"Middle"
"95","TCGA-BF-A3DL-01A-11R-A20F-07",3.79544488169312,"Low"
"96","TCGA-EB-A41A-01A-11R-A24X-07",5.08048712193704,"Middle"
"97","TCGA-EB-A42Z-01A-12R-A24X-07",5.37338720816059,"Middle"
"98","TCGA-BF-A1PV-01A-11R-A18U-07",5.79861825030129,"High"
"99","TCGA-EB-A3XE-01A-12R-A239-07",3.76046581119032,"Low"
"100","TCGA-EB-A3Y7-01A-11R-A239-07",1.55345880969909,"Low"
"101","TCGA-EB-A44O-01A-11R-A266-07",6.15224833075742,"High"
"102","TCGA-EB-A430-01A-11R-A24X-07",4.54769659131696,"Middle"
"103","TCGA-EB-A41B-01A-11R-A24X-07",4.88827566689295,"Middle"
