"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"GO:0022626","cytosolic ribosome",1.5467855,10,0.635,3.5e-58,2.8e-47,"ETF1, GSPT1, ABCE1, RPL7A, RPL36A, RPS3A, RPS10,
RPS17, USP10, NEMF, HBS1L, ASCC3, LTN1, EIF2AK4","APOD, FAU, RPSA, RPL3, RPL7A, RPL8, RPL10, RPL11,
RPL12, RPL13, RPL18, RPL18A, RPL19, RPL23A, RPL24, RPL27, RPL27A, RPL28,
RPL29, RPL32, RPL37, RPL37A, RPL38, RPL39, RPLP0, RPLP1, RPS2, RPS3,
RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13, RPS14, RPS15, RPS15A, RPS16,
RPS19, RPS20, RPS23, UBA52, RPL14, RPL23, RNF10, GCN1, RPL35, RPL13A,
RPL36, RNF25, ASCC2, ZNF598"
"GO:0071013","catalytic step 2 spliceosome",1.620648,10,0.61,5.2e-54,6.1e-42,"CDC5L, DDX5, FRG1, HNRNPA2B1, HNRNPF, HNRNPH1, PLRG1,
PNN, SRSF1, SNRPA1, SNRPB2, SNRPD3, U2AF1, AQR, HNRNPR, CWC27, SYNCRIP,
SLU7, PPWD1, SF3B1, SYF2, PABPC1, RBMX, CRNKL1, CDC40, PPIL1, PPIL3,
CWC22, HNRNPA3","DHX8, MAGOH, HNRNPM, SNRPB, SNRPD2, SNRPF, SF3A2,
SART1, EFTUD2, DDX23, EIF4A3, ALYREF, SF3A1, PRPF8, SF3B2, RALY, SF3B3,
TFIP11, PRPF6, LSM3, PRPF19, DDX41, RBM22, XAB2, ISY1, LSM2, CACTIN,
WDR83"
"GO:1990904","ribonucleoprotein complex",1.4267325,10,0.7525,2e-40,3.1e-33,"BRCA1, DDX1, DDX5, DHX9, FMR1, HNRNPA2B1, NCBP1,
NPM1, RPS3A, TOP2A, TOP2B, XPO1, SLBP, PABPN1, HNRNPR, SYNCRIP, CPSF6,
PABPC1, LARP7, PHAX, TEFM, ZC3H14, NSRP1, HNRNPA3","ACTB, ACTN4, EEF2, ELAVL1, ERG, GAPDH, HNRNPAB,
HNRNPL, HSF1, HSPA1A, HSPA1B, IGHMBP2, RPL27, RPLP0, RPS3, RPS4X, RPS5,
RPS9, ZFP36, PABPC4, SRA1, RBM14, BOP1, RPL13A, NUP62, DAZAP1, AKAP8L,
SRRT, MEPCE, MRPL41, RNF135, ZC3H18, MRPL10, APOBEC3F"
"GO:0016605","PML body",1.739441,10,0.34,2.8e-40,9.7e-31,"ATR, ATRX, BLM, CSNK2A1, EIF3E, MAGEA2, MRE11, NBN,
RB1, SATB1, SRSF2, SP100, SUMO1, ZMYM2, KAT6A, PIAS1, PIAS2, CASP8AP2,
TOPORS, TOPBP1, WDFY3, SMC5, SIRT1, MORC3, ZNF451, KLHL20, TDP2, SENP2,
SMC6, MAGEA2B, NSMCE2","CDK9, CHD3, CSNK2B, DAXX, ELF4, HSF1, ISG20, CIITA,
PML, MAPK7, SKI, SUMO3, TOP3A, TP53, UBE2I, ZBTB16, SQSTM1, ZBED1,
IKBKE, BASP1, TRIM16, PARK7, CHFR, TENM2, SPTBN4, TRIM8, SIMC1"
"GO:0005762","mitochondrial large ribosomal subunit",1.726176,10,0.1325,3.1e-40,3e-34,"MRPL19, MRPS30, MRPL46, MRPL42, MRPL13, MRPL30,
MRPL35, MRPL39, MRPL50, MRPL38, MRPL32","MRPL23, MRPL12, MRPL28, MRPL18, MRPL22, MRPL2, MRPL4,
MRPL37, MRPL51, MRPL27, MRPL48, MRPL20, MRPS18A, MRPL47, MRPL17, MRPL14,
MRPL41, MRPL40, MRPL36, MRPL34, MRPL11, MRPL57, MRPL24, MRPL43, MPV17L2,
MRPL54, MRPL52, MRPL10, MRPL55, MRPL21"
"GO:0005814","centriole",1.6907438,10,0.115,1.8e-38,2.1e-11,"BBS4, CETN3, KIF2A, STIL, TOP2A, ALMS1, IFT88, OFD1,
CEP135, CCP110, CEP350, CEP170, MAGI2, MPHOSPH9, TOPORS, TUBGCP3, PLK4,
SDCCAG8, KIF3A, CEP162, DZIP1, CEP152, ATXN10, RTTN, CEP83, NIN, AHI1,
CNTLN, CEP192, CCDC88A, CENPJ, BCCIP, MDM1, CCDC146, CEP97, CCDC102B,
AGBL2, CEP76, CEP290, CEP63, CEP44, CEP19, CEP295, CCSAP, SCLT1, CEP128,
TTBK2, SPICE1, CEP120, SASS6, POC1B","CAPG, CCNF, CETN2, DCTN1, DNM2, HTT, HSPA1A, HSPA1B,
SSNA1, CEP250, CEP164, SIRT2, CBY1, POC1A, C2CD3, PLA2G3, CCHCR1, TSKS,
CCDC92, AKNA, RAB34, ENKD1, CEP89, FBF1, CCDC120, CNTROB, PPP1R35"
"GO:0005681","spliceosomal complex",1.5883131,10,0.51,5.1e-38,4.4e-28,"CDC5L, HNRNPA2B1, HNRNPH3, PLRG1, TRA2B, SNRPA1,
SNRPB2, SNRPD3, U2AF1, DDX39B, API5, PRPF18, RBM5, BCAS2, SLU7, CRNKL1,
CWC22","DHX8, HNRNPM, SNRPA, SNRPB, SNRPC, SNRPD2, SNRPF,
SF1, SF3A2, SF3B4, SF3A1, TXNL4A, SF3B2, U2AF2, TFIP11, GPKOW, PRPF19,
DDX41, CTNNBL1, WDR83"
"GO:0032040","small-subunit processome",1.6332846,10,0.49,3e-37,4.6e-28,"PRKDC, RPS3A, RPS17, MPHOSPH10, WDR3, KRR1, WDR43,
DIMT1, UTP20, DNTTIP2, FCF1, UTP18, NOP58, HEATR1, UTP6, PNO1, UTP3,
WDR75, C1orf131, WDR36","FBL, SNU13, RPS4X, RPS5, RPS9, RPS11, RPS12, RPS13,
RPS14, RPS15A, RPS16, RPS19, RPS23, RPS28, RRP9, WDR46, RCL1, EMG1,
TBL3, AATF, RRP7A, NAT10, IMP3, DHX37, NOL6, RPS19BP1, IMP4"
"GO:0022625","cytosolic large ribosomal subunit",1.3850651,10,0.5425,3.2e-37,7.6e-31,"RPL7A, RPL36A","RPL3, RPL7A, RPL8, RPL10, RPL11, RPL12, RPL13, RPL18,
RPL18A, RPL19, RPL23A, RPL24, RPL27, RPL27A, RPL28, RPL29, RPL32, RPL37,
RPL37A, RPL38, RPL39, RPLP0, RPLP1, RPLP2, UBA52, RPL14, RPL23, RPL35,
RPL13A, RPL36"
"GO:0000785","chromatin",1.4080181,10,0.485,5.2e-34,1e-19,"RUNX2, CHEK1, ATF2, DFFB, EZH2, BPTF, FANCB, FER,
GABPA, HIF1A, HLCS, HMGB2, SMAD4, MEF2A, NEDD4, ORC5, PCNA, POLA1,
PRKDC, RBBP4, RFX3, SFPQ, SRPK1, SRPK2, TAF1, TAF4, TAF5, TCF12, TMPO,
ZFX, ZFY, NCOA3, NRIP1, HAT1, SMC3, ZEB2, STAG1, RAD51AP1, STAG2, CBX1,
COPS5, CBX3, OIP5, PDS5B, KDM4C, WDR43, PLCB1, PDS5A, SIRT1, MORC3,
ORC3, ASF1A, AHCTF1, L3MBTL1, ANKRD17, MTBP, TIPIN, HPF1, PARPBP, FANCL,
MSL2, RIF1, SETD5, KMT2E, PRDM10, FANCM, FAM111A, NUCKS1, DSCC1,
SUV39H2, SPRTN, ESCO1, PPP4R2, ESCO2, THAP5, ANKRD31, FAM47E","ARRB1, RUNX3, CCND2, CSNK2B, DDB2, DVL3, E2F1, FANCE,
GATA3, HDAC1, HIC1, NR4A1, HNRNPL, IRF1, IRF3, IRF7, JUN, SMAD3, MAX,
MEN1, MUC1, NFATC1, PPARD, PPP1R10, PPP4C, RARA, RARG, RELA, RELB, UPF1,
DPF2, RXRA, SMARCA4, SMARCD3, SPI1, STAT3, TAL1, TCF3, TGM2, TP53, HIRA,
USF1, XRCC1, NELFE, TP63, BANF1, LDB1, KLF4, DDX23, HAND2, NR1D1, NCOR2,
SETD1A, IST1, TOX4, CHAF1A, NR1H3, KLF2, CITED2, KAT5, KLF1, EHMT2,
PARK7, CAMTA2, CBX7, WBP2, ZNF385A, AKAP8L, CHMP2A, HTRA2, SIRT7, SIRT6,
SOX18, CASZ1, ASF1B, CCAR2, HIF3A, PINK1, IPO4, THAP7, FIZ1, CREB3L1,
FANK1, KLHDC3, ZBTB46, SDR16C5, LEMD2"
